record_type,record_id,label_ko,alias_or_term,concept_ids,concept_labels,grade_domain_unit,relationship_status,recommended_action,confidence,source_ref_count,notes
concept_alias,m1_quad_func_y_ax2_form,y=ax^2 꼴,기본 이차함수 식; y=ax^2,m1_quad_func_y_ax2_form,y=ax^2 꼴,중3(교육과정 학년군: 중1-3) > 변화와 관계 > 이차함수와 그 그래프,alias_on_concept,preserve_alias_and_check_textbook_wording,high,2,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_quad_func_general_form,y=ax^2+bx+c 꼴,일반형 이차함수; general form,m1_quad_func_general_form,y=ax^2+bx+c 꼴,중3(교육과정 학년군: 중1-3) > 변화와 관계 > 이차함수와 그 그래프,alias_on_concept,preserve_alias_and_check_textbook_wording,high,2,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_quad_func_vertical_shift_form,y=ax^2+q 꼴,y방향 평행이동형; y=ax^2+q,m1_quad_func_vertical_shift_form,y=ax^2+q 꼴,중3(교육과정 학년군: 중1-3) > 변화와 관계 > 이차함수와 그 그래프,alias_on_concept,preserve_alias_and_check_textbook_wording,high,2,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_quad_func_y_fx,y=f(x),f(x); 함수 기호,m1_quad_func_y_fx,y=f(x),중3(교육과정 학년군: 중1-3) > 변화와 관계 > 이차함수와 그 그래프,alias_on_concept,preserve_alias_and_check_textbook_wording,high,2,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_func_y_increment,y의 증가량,y 증가량; y값의 증가량,m1_func_y_increment,y의 증가량,중1(교육과정 학년군: 중1-3) > 변화와 관계 > 일차함수와 그 그래프,alias_on_concept,preserve_alias_and_check_textbook_wording,high,1,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_func_y_intercept,y절편,y 절편,m1_func_y_intercept,y절편,중1(교육과정 학년군: 중1-3) > 변화와 관계 > 일차함수와 그 그래프,alias_on_concept,preserve_alias_and_check_textbook_wording,high,3,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_coord_y_coordinate,y좌표,y 좌표; 세로 좌표,m1_coord_y_coordinate,y좌표,중1(교육과정 학년군: 중1-3) > 변화와 관계 > 좌표평면과 그래프,alias_on_concept,preserve_alias_and_check_textbook_wording,high,2,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_coord_y_axis,y축,y 축; 세로축,m1_coord_y_axis,y축,중1(교육과정 학년군: 중1-3) > 변화와 관계 > 좌표평면과 그래프,alias_on_concept,preserve_alias_and_check_textbook_wording,high,1,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_coord_y_axis_point,y축 위의 점,y축상의 점; y축에 있는 점,m1_coord_y_axis_point,y축 위의 점,중1(교육과정 학년군: 중1-3) > 변화와 관계 > 좌표평면과 그래프,alias_on_concept,preserve_alias_and_check_textbook_wording,high,2,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_system_addition_subtraction_method,가감법,addition-subtraction method,m1_system_addition_subtraction_method,가감법,중1(교육과정 학년군: 중1-3) > 변화와 관계 > 연립일차방정식,alias_on_concept,preserve_alias_and_check_textbook_wording,high,2,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_mis_system_elimination_sign,가감법에서 부호와 계수 처리를 잘못하는 오류,가감법 부호 오류; 소거 계수 오류,m1_mis_system_elimination_sign,가감법에서 부호와 계수 처리를 잘못하는 오류,중1(교육과정 학년군: 중1-3) > 변화와 관계 > 연립일차방정식,alias_on_concept,preserve_alias_and_check_textbook_wording,high,2,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_data_middle_position,가운데 위치,중앙 위치; middle position,m1_data_middle_position,가운데 위치,중1(교육과정 학년군: 중1-3) > 자료와 가능성 > 대푯값,alias_on_concept,preserve_alias_and_check_textbook_wording,high,3,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_geo_pythagorean_converse_side_ordering,가장 긴 변을 빗변 후보로 정하기,빗변 후보 정하기; longest-side selection,m1_geo_pythagorean_converse_side_ordering,가장 긴 변을 빗변 후보로 정하기,중2(교육과정 학년군: 중1-3) > 도형과 측정 > 피타고라스 정리,alias_on_concept,preserve_alias_and_check_textbook_wording,high,2,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_mis_pythagorean_converse_unsorted_sides,가장 긴 변을 확인하지 않고 역을 적용하는 오류,피타고라스 역 변 순서 오류,m1_mis_pythagorean_converse_unsorted_sides,가장 긴 변을 확인하지 않고 역을 적용하는 오류,중2(교육과정 학년군: 중1-3) > 도형과 측정 > 피타고라스 정리,alias_on_concept,preserve_alias_and_check_textbook_wording,high,2,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_geo_angle,각,angle,m1_geo_angle,각,중1(교육과정 학년군: 중1-3) > 도형과 측정 > 기본 도형,alias_on_concept,preserve_alias_and_check_textbook_wording,high,2,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_data_equally_likely_assumption,각 경우가 발생할 가능성이 동등하다는 가정,동등 가능성 가정,m1_data_equally_likely_assumption,각 경우가 발생할 가능성이 동등하다는 가정,중2(교육과정 학년군: 중1-3) > 자료와 가능성 > 경우의 수와 확률,alias_on_concept,preserve_alias_and_check_textbook_wording,high,1,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_quad_eq_zero_product_condition,각 인수가 0이 되는 조건,곱이 0이 되는 조건; zero product condition,m1_quad_eq_zero_product_condition,각 인수가 0이 되는 조건,중3(교육과정 학년군: 중1-3) > 변화와 관계 > 이차방정식,alias_on_concept,preserve_alias_and_check_textbook_wording,high,2,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_geo_frustum_pyramid,각뿔대,frustum of pyramid,m1_geo_frustum_pyramid,각뿔대,중1(교육과정 학년군: 중1-3) > 도형과 측정 > 입체도형의 성질,alias_on_concept,preserve_alias_and_check_textbook_wording,high,3,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_geo_angle_bisector,각의 이등분선,내각의 이등분선; angle bisector,m1_geo_angle_bisector,각의 이등분선,중2(교육과정 학년군: 중1-3) > 도형과 측정 > 삼각형과 사각형의 성질,alias_on_concept,preserve_alias_and_check_textbook_wording,high,2,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_geo_angle_measure,각의 크기,angle measure,m1_geo_angle_measure,각의 크기,중1(교육과정 학년군: 중1-3) > 도형과 측정 > 기본 도형,alias_on_concept,preserve_alias_and_check_textbook_wording,high,2,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_calc_same_base_power_multiplication,같은 밑의 거듭제곱의 곱셈,밑이 같은 거듭제곱의 곱셈 법칙,m1_calc_same_base_power_multiplication,같은 밑의 거듭제곱의 곱셈,중1(교육과정 학년군: 중1-3) > 변화와 관계 > 식의 계산,alias_on_concept,preserve_alias_and_check_textbook_wording,high,3,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_calc_same_base_power_division,같은 밑의 거듭제곱의 나눗셈,밑이 같은 거듭제곱의 나눗셈 법칙,m1_calc_same_base_power_division,같은 밑의 거듭제곱의 나눗셈,중1(교육과정 학년군: 중1-3) > 변화와 관계 > 식의 계산,alias_on_concept,preserve_alias_and_check_textbook_wording,high,3,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_geo_equal_chords_equal_center_distance,같은 원에서 길이가 같은 현은 중심에서 같은 거리에 있음,같은 현과 중심거리,m1_geo_equal_chords_equal_center_distance,같은 원에서 길이가 같은 현은 중심에서 같은 거리에 있음,중3(교육과정 학년군: 중1-3) > 도형과 측정 > 원의 성질,alias_on_concept,preserve_alias_and_check_textbook_wording,high,2,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_geo_equal_center_distance_equal_chords,같은 원에서 중심거리가 같은 현의 길이가 같음,중심거리가 같은 현,m1_geo_equal_center_distance_equal_chords,같은 원에서 중심거리가 같은 현의 길이가 같음,중3(교육과정 학년군: 중1-3) > 도형과 측정 > 원의 성질,alias_on_concept,preserve_alias_and_check_textbook_wording,high,2,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_geo_same_chord,같은 현,동일한 현,m1_geo_same_chord,같은 현,중3(교육과정 학년군: 중1-3) > 도형과 측정 > 원의 성질,alias_on_concept,preserve_alias_and_check_textbook_wording,high,2,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_mis_same_chord_arc_scope,같은 현과 같은 호의 조건을 넓게 적용하는 오류,같은 현 같은 호 조건 혼동,m1_mis_same_chord_arc_scope,같은 현과 같은 호의 조건을 넓게 적용하는 오류,중3(교육과정 학년군: 중1-3) > 도형과 측정 > 원의 성질,alias_on_concept,preserve_alias_and_check_textbook_wording,high,3,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_geo_same_arc,같은 호,동일한 호,m1_geo_same_arc,같은 호,중3(교육과정 학년군: 중1-3) > 도형과 측정 > 원의 성질,alias_on_concept,preserve_alias_and_check_textbook_wording,high,2,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_geo_same_arc_inscribed_angles_equal,같은 호에 대한 원주각의 크기가 같음,같은 호의 원주각; 같은 호에 대한 원주각,m1_geo_same_arc_inscribed_angles_equal,같은 호에 대한 원주각의 크기가 같음,중3(교육과정 학년군: 중1-3) > 도형과 측정 > 원의 성질,alias_on_concept,preserve_alias_and_check_textbook_wording,high,2,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_geo_same_arc_same_chord_relation,같은 호와 같은 현의 대응 관계,호와 현의 대응,m1_geo_same_arc_same_chord_relation,같은 호와 같은 현의 대응 관계,중3(교육과정 학년군: 중1-3) > 도형과 측정 > 원의 성질,alias_on_concept,preserve_alias_and_check_textbook_wording,high,3,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_calc_power,거듭제곱,power,m1_calc_power,거듭제곱,중1(교육과정 학년군: 중1-3) > 변화와 관계 > 식의 계산,alias_on_concept,preserve_alias_and_check_textbook_wording,high,3,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_calc_power_of_power,거듭제곱의 거듭제곱,거듭제곱을 다시 거듭제곱하기,m1_calc_power_of_power,거듭제곱의 거듭제곱,중1(교육과정 학년군: 중1-3) > 변화와 관계 > 식의 계산,alias_on_concept,preserve_alias_and_check_textbook_wording,high,3,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_geo_trig_distance_height_modeling,거리와 높이 문제를 직각삼각형으로 나타내기,거리 높이 직각삼각형 모델링; 측정 상황 모델링,m1_geo_trig_distance_height_modeling,거리와 높이 문제를 직각삼각형으로 나타내기,중3(교육과정 학년군: 중1-3) > 도형과 측정 > 삼각비,alias_on_concept,preserve_alias_and_check_textbook_wording,high,2,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_geo_surface_area,겉넓이,surface area,m1_geo_surface_area,겉넓이,중1(교육과정 학년군: 중1-3) > 도형과 측정 > 입체도형의 성질,alias_on_concept,preserve_alias_and_check_textbook_wording,high,2,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_mis_surface_area_volume,겉넓이와 부피를 같은 측정량으로 보는 오류,겉넓이-부피 혼동,m1_mis_surface_area_volume,겉넓이와 부피를 같은 측정량으로 보는 오류,중1(교육과정 학년군: 중1-3) > 도형과 측정 > 입체도형의 성질,alias_on_concept,preserve_alias_and_check_textbook_wording,high,2,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_geo_orthographic_drawing,겨냥도,입체도형의 겨냥도,m1_geo_orthographic_drawing,겨냥도,중1(교육과정 학년군: 중1-3) > 도형과 측정 > 입체도형의 성질,alias_on_concept,preserve_alias_and_check_textbook_wording,high,1,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_num_associative_law,결합법칙,associative law,m1_num_associative_law,결합법칙,중1(교육과정 학년군: 중1-3) > 수와 연산 > 정수와 유리수,alias_on_concept,preserve_alias_and_check_textbook_wording,high,2,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_data_counting_cases,경우의 수,number of cases,m1_data_counting_cases,경우의 수,중2(교육과정 학년군: 중1-3) > 자료와 가능성 > 경우의 수와 확률,alias_on_concept,preserve_alias_and_check_textbook_wording,high,4,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_data_probability_unit,경우의 수와 확률,"가능성, 확률",m1_data_probability_unit,경우의 수와 확률,중2(교육과정 학년군: 중1-3) > 자료와 가능성 > 경우의 수와 확률,alias_on_concept,preserve_alias_and_check_textbook_wording,high,5,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_data_probability_by_case_ratio,경우의 수의 비율로 확률 구하기,확률을 경우의 수의 비율로 구하기; 사건의 확률 구하기,m1_data_probability_by_case_ratio,경우의 수의 비율로 확률 구하기,중2(교육과정 학년군: 중1-3) > 자료와 가능성 > 경우의 수와 확률,alias_on_concept,preserve_alias_and_check_textbook_wording,high,4,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_data_theoretical_probability,경우의 수의 비율로서의 확률,이론적 확률,m1_data_theoretical_probability,경우의 수의 비율로서의 확률,중2(교육과정 학년군: 중1-3) > 자료와 가능성 > 경우의 수와 확률,alias_on_concept,preserve_alias_and_check_textbook_wording,high,4,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_data_class,계급,class interval,m1_data_class,계급,중1(교육과정 학년군: 중1-3) > 자료와 가능성 > 도수분포표와 상대도수,alias_on_concept,preserve_alias_and_check_textbook_wording,high,3,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_data_class_mark,계급값,class mark,m1_data_class_mark,계급값,중1(교육과정 학년군: 중1-3) > 자료와 가능성 > 도수분포표와 상대도수,alias_on_concept,preserve_alias_and_check_textbook_wording,high,2,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_data_class_width,계급의 크기,class width,m1_data_class_width,계급의 크기,중1(교육과정 학년군: 중1-3) > 자료와 가능성 > 도수분포표와 상대도수,alias_on_concept,preserve_alias_and_check_textbook_wording,high,3,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_num_square_root_calculator,계산기로 제곱근 값 구하기,제곱근 근삿값 구하기,m1_num_square_root_calculator,계산기로 제곱근 값 구하기,중3(교육과정 학년군: 중1-3) > 수와 연산 > 제곱근과 실수,alias_on_concept,preserve_alias_and_check_textbook_wording,high,1,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_expr_coefficient,계수,coefficient,m1_expr_coefficient,계수,중1(교육과정 학년군: 중1-3) > 변화와 관계 > 문자의 사용과 식,alias_on_concept,preserve_alias_and_check_textbook_wording,high,1,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_mis_coefficient_constant_degree,계수·상수항·차수 혼동,계수와 상수항 혼동; 차수 판단 오류,m1_mis_coefficient_constant_degree,계수·상수항·차수 혼동,중1(교육과정 학년군: 중1-3) > 변화와 관계 > 문자의 사용과 식,alias_on_concept,preserve_alias_and_check_textbook_wording,high,2,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_num_multiplication,곱셈,multiplication; 곱하기,m1_num_multiplication,곱셈,중1(교육과정 학년군: 중1-3) > 수와 연산 > 정수와 유리수,alias_on_concept,preserve_alias_and_check_textbook_wording,high,3,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_factor_formula_selection,곱셈·인수분해 공식 선택하기,공식 선택하기; 알맞은 공식 고르기,m1_factor_formula_selection,곱셈·인수분해 공식 선택하기,중3(교육과정 학년군: 중1-3) > 변화와 관계 > 다항식의 곱셈과 인수분해,alias_on_concept,preserve_alias_and_check_textbook_wording,high,2,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_mis_factor_formula_pattern,곱셈·인수분해 공식을 기계적으로 끼워 맞추는 오류,공식 패턴 오용,m1_mis_factor_formula_pattern,곱셈·인수분해 공식을 기계적으로 끼워 맞추는 오류,중3(교육과정 학년군: 중1-3) > 변화와 관계 > 다항식의 곱셈과 인수분해,alias_on_concept,preserve_alias_and_check_textbook_wording,high,2,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_num_mul_div_sign_rule,곱셈과 나눗셈의 부호 결정,곱셈의 부호 규칙; 나눗셈의 부호 규칙,m1_num_mul_div_sign_rule,곱셈과 나눗셈의 부호 결정,중1(교육과정 학년군: 중1-3) > 수와 연산 > 정수와 유리수,alias_on_concept,preserve_alias_and_check_textbook_wording,high,3,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_num_common_multiple,공배수,common multiple,m1_num_common_multiple,공배수,중1(교육과정 학년군: 중1-3) > 수와 연산 > 소인수분해,alias_on_concept,preserve_alias_and_check_textbook_wording,high,3,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_factor_formula_based_factorization,공식을 이용한 인수분해,인수분해 공식 적용하기; 공식으로 인수분해하기,m1_factor_formula_based_factorization,공식을 이용한 인수분해,중3(교육과정 학년군: 중1-3) > 변화와 관계 > 다항식의 곱셈과 인수분해,alias_on_concept,preserve_alias_and_check_textbook_wording,high,2,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_num_common_divisor,공약수,common divisor,m1_num_common_divisor,공약수,중1(교육과정 학년군: 중1-3) > 수와 연산 > 소인수분해,alias_on_concept,preserve_alias_and_check_textbook_wording,high,3,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_num_common_prime_factor,공통 소인수,common prime factor,m1_num_common_prime_factor,공통 소인수,중1(교육과정 학년군: 중1-3) > 수와 연산 > 소인수분해,alias_on_concept,preserve_alias_and_check_textbook_wording,high,3,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_num_select_common_prime_factors,공통 소인수 선택하기,공통인 소인수 고르기,m1_num_select_common_prime_factors,공통 소인수 선택하기,중1(교육과정 학년군: 중1-3) > 수와 연산 > 소인수분해,alias_on_concept,preserve_alias_and_check_textbook_wording,high,3,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_system_common_solution_condition,공통 해 조건,두 방정식을 모두 만족하는 조건; 동시에 만족하는 조건,m1_system_common_solution_condition,공통 해 조건,중1(교육과정 학년군: 중1-3) > 변화와 관계 > 연립일차방정식,alias_on_concept,preserve_alias_and_check_textbook_wording,high,2,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
