achievement_code,domain,concept_count,high_confidence_count,medium_confidence_count,low_confidence_count,concept_ids,concept_labels
9수03-05,도형과 측정,13,9,4,0,m1_geo_convex_polygon_scope; m1_geo_diagonal; m1_geo_diagonal_count; m1_geo_domain; m1_geo_exterior_angle; m1_geo_interior_angle; m1_geo_model_tool_solid; m1_geo_plane_properties_unit; m1_geo_polygon; m1_geo_polygon_angle_sum; m1_geo_solid_cross_section; m1_geo_solid_net; m1_geo_solid_unit,볼록다각형 범위; 대각선; 다각형의 대각선 개수; 도형과 측정; 외각; 내각; 모형과 공학 도구로 입체도형 탐구; 평면도형의 성질; 다각형; 다각형의 내각과 외각의 크기; 입체도형의 단면; 전개도; 입체도형의 성질
9수03-06,도형과 측정,13,10,2,1,m1_geo_arc; m1_geo_area; m1_geo_central_angle; m1_geo_chord; m1_geo_circle; m1_geo_circular_segment; m1_geo_domain; m1_geo_length; m1_geo_plane_properties_unit; m1_geo_secant; m1_geo_sector; m1_geo_sector_arc_length_area; m1_mis_arc_chord,호; 넓이; 중심각; 현; 원; 활꼴; 도형과 측정; 길이; 평면도형의 성질; 할선; 부채꼴; 부채꼴의 호의 길이와 넓이 구하기; 호와 현을 같은 대상으로 보는 오류
9수03-07,도형과 측정,22,13,8,1,m1_geo_area; m1_geo_axis_of_rotation; m1_geo_convex_polygon_scope; m1_geo_diagonal_count; m1_geo_domain; m1_geo_figure; m1_geo_frustum_cone; m1_geo_frustum_pyramid; m1_geo_model_tool_solid; m1_geo_polygon_angle_sum; m1_geo_polyhedron; m1_geo_prism; m1_geo_pyramid; m1_geo_regular_polyhedron; m1_geo_solid_cross_section; m1_geo_solid_net; m1_geo_solid_of_revolution; m1_geo_solid_unit; m1_geo_sphere; m1_geo_surface_area; m1_geo_volume; m1_mis_surface_area_volume,넓이; 회전축; 볼록다각형 범위; 다각형의 대각선 개수; 도형과 측정; 도형; 원뿔대; 각뿔대; 모형과 공학 도구로 입체도형 탐구; 다각형의 내각과 외각의 크기; 다면체; 기둥 모양 입체도형; 뿔 모양 입체도형; 정다면체; 입체도형의 단면; 전개도; 회전체; 입체도형의 성질; 구; 겉넓이; 부피; 겉넓이와 부피를 같은 측정량으로 보는 오류
9수03-08,도형과 측정,18,11,6,1,m1_geo_area; m1_geo_axis_of_rotation; m1_geo_domain; m1_geo_frustum_cone; m1_geo_frustum_pyramid; m1_geo_model_tool_solid; m1_geo_polyhedron; m1_geo_prism; m1_geo_pyramid; m1_geo_regular_polyhedron; m1_geo_solid_cross_section; m1_geo_solid_net; m1_geo_solid_of_revolution; m1_geo_solid_unit; m1_geo_sphere; m1_geo_surface_area; m1_geo_volume; m1_mis_surface_area_volume,넓이; 회전축; 도형과 측정; 원뿔대; 각뿔대; 모형과 공학 도구로 입체도형 탐구; 다면체; 기둥 모양 입체도형; 뿔 모양 입체도형; 정다면체; 입체도형의 단면; 전개도; 회전체; 입체도형의 성질; 구; 겉넓이; 부피; 겉넓이와 부피를 같은 측정량으로 보는 오류
9수03-09,도형과 측정,18,14,2,2,m1_geo_circle_justification; m1_geo_circumcenter; m1_geo_circumcircle; m1_geo_domain; m1_geo_incenter; m1_geo_incircle; m1_geo_isosceles_properties; m1_geo_isosceles_triangle; m1_geo_justification; m1_geo_proof; m1_geo_pythagorean_justification; m1_geo_quadrilateral; m1_geo_quadrilateral_diagonal_properties; m1_geo_quadrilateral_relationship; m1_geo_triangle; m1_geo_triangle_quadrilateral_unit; m1_mis_circumcenter_incenter; m1_mis_proof_observation,원의 성질 정당화; 외심; 외접원; 도형과 측정; 내심; 내접원; 이등변삼각형의 성질; 이등변삼각형; 정당화; 증명; 피타고라스 정리의 정당화; 사각형; 사각형의 대각선에 관한 성질; 여러 가지 사각형 사이의 관계; 삼각형; 삼각형과 사각형의 성질; 외심과 내심을 혼동하는 오류; 관찰 결과와 증명을 같은 수준의 근거로 보는 오류
9수03-10,도형과 측정,16,12,2,2,m1_geo_circumcenter; m1_geo_circumcircle; m1_geo_domain; m1_geo_incenter; m1_geo_incircle; m1_geo_isosceles_properties; m1_geo_isosceles_triangle; m1_geo_justification; m1_geo_proof; m1_geo_quadrilateral; m1_geo_quadrilateral_diagonal_properties; m1_geo_quadrilateral_relationship; m1_geo_triangle; m1_geo_triangle_quadrilateral_unit; m1_mis_circumcenter_incenter; m1_mis_proof_observation,외심; 외접원; 도형과 측정; 내심; 내접원; 이등변삼각형의 성질; 이등변삼각형; 정당화; 증명; 사각형; 사각형의 대각선에 관한 성질; 여러 가지 사각형 사이의 관계; 삼각형; 삼각형과 사각형의 성질; 외심과 내심을 혼동하는 오류; 관찰 결과와 증명을 같은 수준의 근거로 보는 오류
9수03-11,도형과 측정,18,14,2,2,m1_geo_circle_justification; m1_geo_circumcenter; m1_geo_circumcircle; m1_geo_domain; m1_geo_incenter; m1_geo_incircle; m1_geo_isosceles_properties; m1_geo_isosceles_triangle; m1_geo_justification; m1_geo_proof; m1_geo_pythagorean_justification; m1_geo_quadrilateral; m1_geo_quadrilateral_diagonal_properties; m1_geo_quadrilateral_relationship; m1_geo_triangle; m1_geo_triangle_quadrilateral_unit; m1_mis_circumcenter_incenter; m1_mis_proof_observation,원의 성질 정당화; 외심; 외접원; 도형과 측정; 내심; 내접원; 이등변삼각형의 성질; 이등변삼각형; 정당화; 증명; 피타고라스 정리의 정당화; 사각형; 사각형의 대각선에 관한 성질; 여러 가지 사각형 사이의 관계; 삼각형; 삼각형과 사각형의 성질; 외심과 내심을 혼동하는 오류; 관찰 결과와 증명을 같은 수준의 근거로 보는 오류
9수03-12,도형과 측정,18,11,5,2,m1_geo_centroid; m1_geo_centroid_from_parallel_ratio; m1_geo_correspondence; m1_geo_domain; m1_geo_figure; m1_geo_length; m1_geo_median; m1_geo_parallel_segment_ratio; m1_geo_similar_figures; m1_geo_similarity; m1_geo_similarity_judgement; m1_geo_similarity_ratio; m1_geo_similarity_unit; m1_geo_triangle; m1_geo_triangle_midpoint_theorem; m1_geo_triangle_similarity_conditions; m1_mis_congruence_similarity; m1_num_ratio,무게중심; 평행선과 선분의 비로 무게중심 찾기; 도형의 대응; 도형과 측정; 도형; 길이; 중선; 평행선 사이의 선분의 길이의 비; 닮은 도형; 닮음; 삼각형의 닮음 판별; 닮음비; 도형의 닮음; 삼각형; 삼각형의 중점연결정리; 삼각형의 닮음 조건; 합동과 닮음을 같은 관계로 보는 오류; 비
9수03-13,도형과 측정,18,11,5,2,m1_geo_centroid; m1_geo_centroid_from_parallel_ratio; m1_geo_correspondence; m1_geo_domain; m1_geo_figure; m1_geo_length; m1_geo_median; m1_geo_parallel_segment_ratio; m1_geo_similar_figures; m1_geo_similarity; m1_geo_similarity_judgement; m1_geo_similarity_ratio; m1_geo_similarity_unit; m1_geo_triangle; m1_geo_triangle_midpoint_theorem; m1_geo_triangle_similarity_conditions; m1_mis_congruence_similarity; m1_num_ratio,무게중심; 평행선과 선분의 비로 무게중심 찾기; 도형의 대응; 도형과 측정; 도형; 길이; 중선; 평행선 사이의 선분의 길이의 비; 닮은 도형; 닮음; 삼각형의 닮음 판별; 닮음비; 도형의 닮음; 삼각형; 삼각형의 중점연결정리; 삼각형의 닮음 조건; 합동과 닮음을 같은 관계로 보는 오류; 비
9수03-14,도형과 측정,18,11,5,2,m1_geo_centroid; m1_geo_centroid_from_parallel_ratio; m1_geo_correspondence; m1_geo_domain; m1_geo_figure; m1_geo_length; m1_geo_median; m1_geo_parallel_segment_ratio; m1_geo_similar_figures; m1_geo_similarity; m1_geo_similarity_judgement; m1_geo_similarity_ratio; m1_geo_similarity_unit; m1_geo_triangle; m1_geo_triangle_midpoint_theorem; m1_geo_triangle_similarity_conditions; m1_mis_congruence_similarity; m1_num_ratio,무게중심; 평행선과 선분의 비로 무게중심 찾기; 도형의 대응; 도형과 측정; 도형; 길이; 중선; 평행선 사이의 선분의 길이의 비; 닮은 도형; 닮음; 삼각형의 닮음 판별; 닮음비; 도형의 닮음; 삼각형; 삼각형의 중점연결정리; 삼각형의 닮음 조건; 합동과 닮음을 같은 관계로 보는 오류; 비
9수03-15,도형과 측정,8,6,2,0,m1_geo_domain; m1_geo_length; m1_geo_pythagorean_converse; m1_geo_pythagorean_justification; m1_geo_pythagorean_theorem; m1_geo_pythagorean_unit; m1_geo_right_triangle; m1_geo_right_triangle_judgement,도형과 측정; 길이; 피타고라스 정리의 역; 피타고라스 정리의 정당화; 피타고라스 정리; 피타고라스 정리; 직각삼각형; 세 변의 길이로 직각삼각형 판별
