legacy_record_type,legacy_id,legacy_label_ko,legacy_grade,legacy_domain,legacy_unit,coverage_status,matched_concept_ids,matched_concept_labels,candidate_action,confidence,source_note,notes
achievement_concept_tag,achievement:9수01-05:정수,정수,중1-3,수와 연산,9수01-05,covered_by_label,m1_num_integer,정수,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 39; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수01-06:소수,소수,중1-3,수와 연산,9수01-06,covered_by_label,m1_num_prime_number,소수,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 39; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수01-06:순환소수,순환소수,중1-3,수와 연산,9수01-06,covered_by_label,m1_num_repeating_decimal,순환소수,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 39; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수01-06:실수,실수,중1-3,수와 연산,9수01-06,covered_by_label,m1_num_real_number,실수,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 39; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수01-06:유리수,유리수,중1-3,수와 연산,9수01-06,covered_by_label,m1_num_rational_number,유리수,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 39; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수01-06:제곱근,제곱근,중1-3,수와 연산,9수01-06,covered_by_label,m1_num_square_root,제곱근,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 39; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수01-07:제곱근,제곱근,중1-3,수와 연산,9수01-07,covered_by_label,m1_num_square_root,제곱근,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 39; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수01-09:실수,실수,중1-3,수와 연산,9수01-09,covered_by_label,m1_num_real_number,실수,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 39; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수01-10:원,원,중1-3,수와 연산,9수01-10,covered_by_label,m1_geo_circle,원,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 39; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수02-02:덧셈,덧셈,중1-3,변화와 관계,9수02-02,covered_by_label,m1_num_addition,덧셈,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 40; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수02-02:방정식,방정식,중1-3,변화와 관계,9수02-02,covered_by_label,m1_eq_equation,방정식,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 40; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수02-02:뺄셈,뺄셈,중1-3,변화와 관계,9수02-02,covered_by_label,m1_num_subtraction,뺄셈,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 40; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수02-02:원,원,중1-3,변화와 관계,9수02-02,covered_by_label,m1_geo_circle,원,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 40; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수02-03:방정식,방정식,중1-3,변화와 관계,9수02-03,covered_by_label,m1_eq_equation,방정식,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 40; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수02-04:그래프,그래프,중1-3,변화와 관계,9수02-04,covered_by_label,m1_graph_graph,그래프,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 40; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수02-04:방정식,방정식,중1-3,변화와 관계,9수02-04,covered_by_label,m1_eq_equation,방정식,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 40; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수02-04:좌표,좌표,중1-3,변화와 관계,9수02-04,covered_by_label,m1_coord_coordinate,좌표,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 40; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수02-04:표,표,중1-3,변화와 관계,9수02-04,covered_by_label,m1_repr_table,표,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 40; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수02-05:좌표,좌표,중1-3,변화와 관계,9수02-05,covered_by_label,m1_coord_coordinate,좌표,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 40; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수02-05:표,표,중1-3,변화와 관계,9수02-05,covered_by_label,m1_repr_table,표,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 40; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수02-06:그래프,그래프,중1-3,변화와 관계,9수02-06,covered_by_label,m1_graph_graph,그래프,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 40; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수02-07:그래프,그래프,중1-3,변화와 관계,9수02-07,covered_by_label,m1_graph_graph,그래프,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 41; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수02-07:비,비,중1-3,변화와 관계,9수02-07,needs_review,,,review_against_official_sources,low,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 41; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",No normalized label or alias match in concepts.json.
achievement_concept_tag,achievement:9수02-07:표,표,중1-3,변화와 관계,9수02-07,covered_by_label,m1_repr_table,표,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 41; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수02-09:다항식,다항식,중1-3,변화와 관계,9수02-09,covered_by_label,m1_expr_polynomial,다항식,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 41; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수02-09:덧셈,덧셈,중1-3,변화와 관계,9수02-09,covered_by_label,m1_num_addition,덧셈,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 41; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수02-09:뺄셈,뺄셈,중1-3,변화와 관계,9수02-09,covered_by_label,m1_num_subtraction,뺄셈,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 41; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수02-09:원,원,중1-3,변화와 관계,9수02-09,covered_by_label,m1_geo_circle,원,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 41; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수02-10:곱셈,곱셈,중1-3,변화와 관계,9수02-10,covered_by_label,m1_num_multiplication,곱셈,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 41; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수02-10:나눗셈,나눗셈,중1-3,변화와 관계,9수02-10,covered_by_label,m1_num_division,나눗셈,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 41; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수02-10:다항식,다항식,중1-3,변화와 관계,9수02-10,covered_by_label,m1_expr_polynomial,다항식,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 41; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수02-10:부등식,부등식,중1-3,변화와 관계,9수02-10,covered_by_label,m1_ineq_inequality,부등식,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 41; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수02-10:원,원,중1-3,변화와 관계,9수02-10,covered_by_label,m1_geo_circle,원,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 41; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수02-11:부등식,부등식,중1-3,변화와 관계,9수02-11,covered_by_label,m1_ineq_inequality,부등식,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 41; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수02-12:방정식,방정식,중1-3,변화와 관계,9수02-12,covered_by_label,m1_eq_equation,방정식,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 41; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수02-12:부등식,부등식,중1-3,변화와 관계,9수02-12,covered_by_label,m1_ineq_inequality,부등식,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 41; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수02-13:그래프,그래프,중1-3,변화와 관계,9수02-13,covered_by_label,m1_graph_graph,그래프,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 41; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수02-13:방정식,방정식,중1-3,변화와 관계,9수02-13,covered_by_label,m1_eq_equation,방정식,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 41; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수02-13:함수,함수,중1-3,변화와 관계,9수02-13,covered_by_label,m1_func_function,함수,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 41; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수02-14:함수,함수,중1-3,변화와 관계,9수02-14,covered_by_label,m1_func_function,함수,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 41; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수02-15:그래프,그래프,중1-3,변화와 관계,9수02-15,covered_by_label,m1_graph_graph,그래프,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 41; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수02-15:함수,함수,중1-3,변화와 관계,9수02-15,covered_by_label,m1_func_function,함수,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 41; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수02-16:그래프,그래프,중1-3,변화와 관계,9수02-16,covered_by_label,m1_graph_graph,그래프,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 41; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수02-16:방정식,방정식,중1-3,변화와 관계,9수02-16,covered_by_label,m1_eq_equation,방정식,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 41; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수02-16:함수,함수,중1-3,변화와 관계,9수02-16,covered_by_label,m1_func_function,함수,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 41; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수02-17:방정식,방정식,중1-3,변화와 관계,9수02-17,covered_by_label,m1_eq_equation,방정식,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 41; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수02-17:함수,함수,중1-3,변화와 관계,9수02-17,covered_by_label,m1_func_function,함수,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 41; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수02-18:곱셈,곱셈,중1-3,변화와 관계,9수02-18,covered_by_label,m1_num_multiplication,곱셈,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 41; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수02-18:그래프,그래프,중1-3,변화와 관계,9수02-18,covered_by_label,m1_graph_graph,그래프,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 41; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수02-18:다항식,다항식,중1-3,변화와 관계,9수02-18,covered_by_label,m1_expr_polynomial,다항식,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 41; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수02-18:방정식,방정식,중1-3,변화와 관계,9수02-18,covered_by_label,m1_eq_equation,방정식,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 41; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수02-18:인수분해,인수분해,중1-3,변화와 관계,9수02-18,covered_by_label,m1_factor_factorization,인수분해,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 41; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
