rank,node_id,node_label_ko,related_id,related_label_ko,node_domain,node_unit,related_domain,related_unit,node_concept_type,related_concept_type,same_domain,same_unit,reciprocal_related_id,candidate_relationship_types,priority_score,priority_tier,next_action,source_refs
11,m1_quad_func_general_form,y=ax^2+bx+c 꼴,m1_quad_func_vertex_form,y=a(x-p)^2+q 꼴,변화와 관계,이차함수와 그 그래프,변화와 관계,이차함수와 그 그래프,representation,representation,yes,yes,yes,represented_by; related_to,7,low,confirm_representation_or_related_edge,achievement_math_2022: 이차함수와 그 그래프 section; [9수02-22] achievement levels
12,m1_quad_func_vertex_form,y=a(x-p)^2+q 꼴,m1_quad_func_general_form,y=ax^2+bx+c 꼴,변화와 관계,이차함수와 그 그래프,변화와 관계,이차함수와 그 그래프,representation,representation,yes,yes,yes,represented_by; related_to,7,low,confirm_representation_or_related_edge,achievement_math_2022: 이차함수와 그 그래프 section; [9수02-22] achievement levels
13,m1_eq_both_sides,양변,m1_eq_left_side,좌변,변화와 관계,일차방정식,변화와 관계,일차방정식,term,term,yes,yes,yes,contrasts_with; related_to,7,low,confirm_contrast_or_related_edge,curriculum_math_2022: printed p. 36; terms usable in teaching and learning situations
14,m1_eq_both_sides,양변,m1_eq_right_side,우변,변화와 관계,일차방정식,변화와 관계,일차방정식,term,term,yes,yes,yes,contrasts_with; related_to,7,low,confirm_contrast_or_related_edge,curriculum_math_2022: printed p. 36; terms usable in teaching and learning situations
15,m1_eq_left_side,좌변,m1_eq_both_sides,양변,변화와 관계,일차방정식,변화와 관계,일차방정식,term,term,yes,yes,yes,contrasts_with; related_to,7,low,confirm_contrast_or_related_edge,curriculum_math_2022: printed p. 36; terms usable in teaching and learning situations
16,m1_eq_right_side,우변,m1_eq_both_sides,양변,변화와 관계,일차방정식,변화와 관계,일차방정식,term,term,yes,yes,yes,contrasts_with; related_to,7,low,confirm_contrast_or_related_edge,curriculum_math_2022: printed p. 36; terms usable in teaching and learning situations
17,m1_func_x_intercept,x절편,m1_func_y_intercept,y절편,변화와 관계,일차함수와 그 그래프,변화와 관계,일차함수와 그 그래프,term,term,yes,yes,yes,contrasts_with; related_to,7,low,confirm_contrast_or_related_edge,curriculum_math_2022: printed p. 36; terms and symbols for 변화와 관계; achievement_math_2022: 일차함수와 그 그래프 section; [9수02-15] achievement levels
18,m1_func_y_intercept,y절편,m1_func_x_intercept,x절편,변화와 관계,일차함수와 그 그래프,변화와 관계,일차함수와 그 그래프,term,term,yes,yes,yes,contrasts_with; related_to,7,low,confirm_contrast_or_related_edge,curriculum_math_2022: printed p. 36; terms and symbols for 변화와 관계; achievement_math_2022: 일차함수와 그 그래프 section; [9수02-15] achievement levels; achievement_math_2022: 일차함수와 그 그래프 section; [9수02-16] achievement levels
19,m1_context_speed_distance,속력과 거리 맥락,m1_context_speed_time,속력과 시간 맥락,변화와 관계,좌표평면과 그래프,변화와 관계,좌표평면과 그래프,sub_concept,sub_concept,yes,yes,yes,contrasts_with; related_to,7,low,confirm_contrast_or_related_edge,curriculum_math_2022: printed pp. 35-36; achievement-standard explanation and considerations; achievement_math_2022: 좌표평면과 그래프 section; [9수02-07] achievement levels
20,m1_context_speed_time,속력과 시간 맥락,m1_context_speed_distance,속력과 거리 맥락,변화와 관계,좌표평면과 그래프,변화와 관계,좌표평면과 그래프,sub_concept,sub_concept,yes,yes,yes,contrasts_with; related_to,7,low,confirm_contrast_or_related_edge,curriculum_math_2022: printed pp. 35-36; achievement-standard explanation and considerations; achievement_math_2022: 좌표평면과 그래프 section; [9수02-07] achievement levels
21,m1_repr_expression,식,m1_repr_table,표,변화와 관계,좌표평면과 그래프,변화와 관계,좌표평면과 그래프,representation,representation,yes,yes,yes,represented_by; related_to,7,low,confirm_representation_or_related_edge,curriculum_math_2022: printed p. 34; [9수02-01]; curriculum_math_2022: printed p. 35; [9수02-07]; curriculum_math_2022: printed pp. 35-36; achievement-standard explanation and considerations; +2 more
22,m1_repr_table,표,m1_repr_expression,식,변화와 관계,좌표평면과 그래프,변화와 관계,좌표평면과 그래프,representation,representation,yes,yes,yes,represented_by; related_to,7,low,confirm_representation_or_related_edge,curriculum_math_2022: printed p. 35; [9수02-07]; curriculum_math_2022: printed pp. 35-36; achievement-standard explanation and considerations; achievement_math_2022: 좌표평면과 그래프 section; [9수02-07] achievement levels
23,m1_num_rational_repeating_relation,유리수와 순환소수의 관계,m1_num_repeating_decimal_to_fraction,순환소수를 분수로 나타내기,수와 연산,유리수와 순환소수,수와 연산,유리수와 순환소수,property,procedure,yes,yes,yes,used_in; related_to,7,low,confirm_used_in_or_related_edge,curriculum_math_2022: printed p. 33; [9수01-06]; curriculum_math_2022: printed p. 33; [9수01-06] explanation; achievement_math_2022: 유리수와 순환소수 section; [9수01-06] achievement levels
24,m1_num_repeating_decimal_to_fraction,순환소수를 분수로 나타내기,m1_num_rational_repeating_relation,유리수와 순환소수의 관계,수와 연산,유리수와 순환소수,수와 연산,유리수와 순환소수,procedure,property,yes,yes,yes,used_in; related_to,7,low,confirm_used_in_or_related_edge,curriculum_math_2022: printed p. 33; [9수01-06] explanation; achievement_math_2022: 유리수와 순환소수 section; [9수01-06] achievement levels
25,m1_num_addition,덧셈,m1_num_subtraction,뺄셈,수와 연산,정수와 유리수,수와 연산,정수와 유리수,procedure,procedure,yes,yes,yes,used_in; related_to,7,low,confirm_used_in_or_related_edge,curriculum_math_2022: printed p. 33; [9수01-05]; achievement_math_2022: 정수와 유리수 section; [9수01-05] achievement levels
26,m1_num_associative_law,결합법칙,m1_num_commutative_law,교환법칙,수와 연산,정수와 유리수,수와 연산,정수와 유리수,property,property,yes,yes,yes,contrasts_with; related_to,7,low,confirm_contrast_or_related_edge,curriculum_math_2022: printed p. 34; terms and symbols for 수와 연산; achievement_math_2022: 정수와 유리수 section; [9수01-05] achievement levels
27,m1_num_commutative_law,교환법칙,m1_num_associative_law,결합법칙,수와 연산,정수와 유리수,수와 연산,정수와 유리수,property,property,yes,yes,yes,contrasts_with; related_to,7,low,confirm_contrast_or_related_edge,curriculum_math_2022: printed p. 34; terms and symbols for 수와 연산; achievement_math_2022: 정수와 유리수 section; [9수01-05] achievement levels
28,m1_num_division,나눗셈,m1_num_multiplication,곱셈,수와 연산,정수와 유리수,수와 연산,정수와 유리수,procedure,procedure,yes,yes,yes,used_in; related_to,7,low,confirm_used_in_or_related_edge,curriculum_math_2022: printed p. 33; [9수01-05]; achievement_math_2022: 정수와 유리수 section; [9수01-05] achievement levels
29,m1_num_minus_sign,음의 부호,m1_num_negative_number,음수,수와 연산,정수와 유리수,수와 연산,정수와 유리수,term,term,yes,yes,yes,contrasts_with; related_to,7,low,confirm_contrast_or_related_edge,curriculum_math_2022: printed p. 34; terms and symbols for 수와 연산
30,m1_num_multiplication,곱셈,m1_num_division,나눗셈,수와 연산,정수와 유리수,수와 연산,정수와 유리수,procedure,procedure,yes,yes,yes,used_in; related_to,7,low,confirm_used_in_or_related_edge,curriculum_math_2022: printed p. 33; [9수01-05]; achievement_math_2022: 정수와 유리수 section; [9수01-05] achievement levels
31,m1_num_negative_number,음수,m1_num_minus_sign,음의 부호,수와 연산,정수와 유리수,수와 연산,정수와 유리수,term,term,yes,yes,yes,contrasts_with; related_to,7,low,confirm_contrast_or_related_edge,curriculum_math_2022: printed p. 33; [9수01-03]; curriculum_math_2022: printed p. 34; terms and symbols for 수와 연산; achievement_math_2022: 정수와 유리수 section; [9수01-03] achievement levels
32,m1_num_plus_sign,양의 부호,m1_num_positive_number,양수,수와 연산,정수와 유리수,수와 연산,정수와 유리수,term,term,yes,yes,yes,contrasts_with; related_to,7,low,confirm_contrast_or_related_edge,curriculum_math_2022: printed p. 34; terms and symbols for 수와 연산
33,m1_num_positive_number,양수,m1_num_plus_sign,양의 부호,수와 연산,정수와 유리수,수와 연산,정수와 유리수,term,term,yes,yes,yes,contrasts_with; related_to,7,low,confirm_contrast_or_related_edge,curriculum_math_2022: printed p. 33; [9수01-03]; curriculum_math_2022: printed p. 34; terms and symbols for 수와 연산; achievement_math_2022: 정수와 유리수 section; [9수01-03] achievement levels
34,m1_num_subtraction,뺄셈,m1_num_addition,덧셈,수와 연산,정수와 유리수,수와 연산,정수와 유리수,procedure,procedure,yes,yes,yes,used_in; related_to,7,low,confirm_used_in_or_related_edge,curriculum_math_2022: printed p. 33; [9수01-05]; achievement_math_2022: 정수와 유리수 section; [9수01-05] achievement levels
35,m1_num_radical_expression,근호를 포함한 식,m1_num_rationalize_denominator,분모의 유리화,수와 연산,제곱근과 실수,수와 연산,제곱근과 실수,representation,procedure,yes,yes,yes,represented_by; related_to,7,low,confirm_representation_or_related_edge,curriculum_math_2022: printed p. 33; [9수01-10]; achievement_math_2022: 제곱근과 실수 section; [9수01-10] achievement levels
36,m1_num_rationalize_denominator,분모의 유리화,m1_num_radical_expression,근호를 포함한 식,수와 연산,제곱근과 실수,수와 연산,제곱근과 실수,procedure,representation,yes,yes,yes,represented_by; related_to,7,low,confirm_representation_or_related_edge,curriculum_math_2022: printed p. 34; terms and symbols for 수와 연산; curriculum_math_2022: printed p. 33; [9수01-10]; achievement_math_2022: 제곱근과 실수 section; [9수01-10] achievement levels
37,m1_data_and_probability,사건 A와 사건 B가 동시에 일어날 확률,m1_data_or_probability,사건 A 또는 사건 B가 일어날 확률,자료와 가능성,경우의 수와 확률,자료와 가능성,경우의 수와 확률,sub_concept,sub_concept,yes,yes,yes,contrasts_with; related_to,7,low,confirm_contrast_or_related_edge,achievement_math_2022: 자료와 가능성 section; [9수04-05]~[9수04-06] achievement levels
38,m1_data_or_probability,사건 A 또는 사건 B가 일어날 확률,m1_data_and_probability,사건 A와 사건 B가 동시에 일어날 확률,자료와 가능성,경우의 수와 확률,자료와 가능성,경우의 수와 확률,sub_concept,sub_concept,yes,yes,yes,contrasts_with; related_to,7,low,confirm_contrast_or_related_edge,achievement_math_2022: 자료와 가능성 section; [9수04-05]~[9수04-06] achievement levels
39,m1_data_mean,평균,m1_data_mode,최빈값,자료와 가능성,대푯값,자료와 가능성,대푯값,term,term,yes,yes,yes,contrasts_with; related_to,7,low,confirm_contrast_or_related_edge,curriculum_math_2022: printed p. 41; [9수04-01] explanation; achievement_math_2022: 자료와 가능성 section; [9수04-01] achievement levels
40,m1_data_mode,최빈값,m1_data_mean,평균,자료와 가능성,대푯값,자료와 가능성,대푯값,term,term,yes,yes,yes,contrasts_with; related_to,7,low,confirm_contrast_or_related_edge,curriculum_math_2022: printed pp. 41-42; terms and symbols for 자료와 가능성; curriculum_math_2022: printed p. 40; [9수04-01]; achievement_math_2022: 자료와 가능성 section; [9수04-01] achievement levels
41,m1_data_no_correlation,상관관계가 없는 경우,m1_data_positive_correlation,양의 상관관계,자료와 가능성,상자그림과 산점도,자료와 가능성,상자그림과 산점도,sub_concept,sub_concept,yes,yes,yes,contrasts_with; related_to,7,low,confirm_contrast_or_related_edge,curriculum_math_2022: printed pp. 41-42; achievement-standard considerations; achievement_math_2022: 자료와 가능성 section; [9수04-08]~[9수04-09] achievement levels
42,m1_data_positive_correlation,양의 상관관계,m1_data_no_correlation,상관관계가 없는 경우,자료와 가능성,상자그림과 산점도,자료와 가능성,상자그림과 산점도,sub_concept,sub_concept,yes,yes,yes,contrasts_with; related_to,7,low,confirm_contrast_or_related_edge,curriculum_math_2022: printed pp. 41-42; achievement-standard considerations; achievement_math_2022: 자료와 가능성 section; [9수04-08]~[9수04-09] achievement levels
43,m1_geo_straight_angle,평각,m1_geo_vertical_angles,맞꼭지각,도형과 측정,기본 도형,도형과 측정,기본 도형,term,term,yes,yes,no,contrasts_with; related_to,5,low,confirm_contrast_or_related_edge,curriculum_math_2022: printed pp. 38-39; terms and symbols for 도형과 측정; curriculum_math_2022: printed p. 37; [9수03-01]; achievement_math_2022: 기본 도형 section; [9수03-01] achievement levels
44,m1_geo_similarity_judgement,삼각형의 닮음 판별,m1_geo_parallel_segment_ratio,평행선 사이의 선분의 길이의 비,도형과 측정,도형의 닮음,도형과 측정,도형의 닮음,procedure,property,yes,yes,no,used_in; related_to,5,low,confirm_used_in_or_related_edge,curriculum_math_2022: printed p. 38; [9수03-13]; achievement_math_2022: 도형의 닮음 section; [9수03-12]~[9수03-14] achievement levels
45,m1_geo_quadrilateral_relationship,여러 가지 사각형 사이의 관계,m1_geo_proof,증명,도형과 측정,삼각형과 사각형의 성질,도형과 측정,삼각형과 사각형의 성질,property,procedure,yes,yes,no,used_in; related_to,5,low,confirm_used_in_or_related_edge,curriculum_math_2022: printed p. 38; [9수03-11]; achievement_math_2022: 삼각형과 사각형의 성질 section; [9수03-09]~[9수03-11] achievement levels
46,m1_geo_circle_unit,원의 성질,m1_geo_plane_properties_unit,평면도형의 성질,도형과 측정,원의 성질,도형과 측정,평면도형의 성질,core_concept,core_concept,yes,no,yes,contrasts_with; related_to,5,low,confirm_contrast_or_related_edge,curriculum_math_2022: printed p. 38; [9수03-18]; curriculum_math_2022: printed p. 38; [9수03-19]; curriculum_math_2022: printed p. 39; achievement-standard considerations; +1 more
47,m1_geo_model_tool_solid,모형과 공학 도구로 입체도형 탐구,m1_geo_solid_net,전개도,도형과 측정,입체도형의 성질,도형과 측정,입체도형의 성질,procedure,representation,yes,yes,no,represented_by; related_to,5,low,confirm_representation_or_related_edge,"curriculum_math_2022: printed p. 38; [9수03-07]; curriculum_math_2022: printed pp. 38-39; [9수03-05], [9수03-07] explanation and considerations; achievement_math_2022: 입체도형의 성질 section; [9수03-07]~[9수03-08] achievement levels"
48,m1_geo_prism,기둥 모양 입체도형,m1_geo_surface_area,겉넓이,도형과 측정,입체도형의 성질,도형과 측정,입체도형의 성질,sub_concept,procedure,yes,yes,no,used_in; related_to,5,low,confirm_used_in_or_related_edge,curriculum_math_2022: printed p. 38; [9수03-08]; achievement_math_2022: 입체도형의 성질 section; [9수03-07]~[9수03-08] achievement levels
49,m1_geo_prism,기둥 모양 입체도형,m1_geo_volume,부피,도형과 측정,입체도형의 성질,도형과 측정,입체도형의 성질,sub_concept,procedure,yes,yes,no,used_in; related_to,5,low,confirm_used_in_or_related_edge,curriculum_math_2022: printed p. 38; [9수03-08]; achievement_math_2022: 입체도형의 성질 section; [9수03-07]~[9수03-08] achievement levels
50,m1_geo_pyramid,뿔 모양 입체도형,m1_geo_surface_area,겉넓이,도형과 측정,입체도형의 성질,도형과 측정,입체도형의 성질,sub_concept,procedure,yes,yes,no,used_in; related_to,5,low,confirm_used_in_or_related_edge,curriculum_math_2022: printed p. 38; [9수03-08]; achievement_math_2022: 입체도형의 성질 section; [9수03-07]~[9수03-08] achievement levels
51,m1_geo_pyramid,뿔 모양 입체도형,m1_geo_volume,부피,도형과 측정,입체도형의 성질,도형과 측정,입체도형의 성질,sub_concept,procedure,yes,yes,no,used_in; related_to,5,low,confirm_used_in_or_related_edge,curriculum_math_2022: printed p. 38; [9수03-08]; achievement_math_2022: 입체도형의 성질 section; [9수03-07]~[9수03-08] achievement levels
52,m1_geo_solid_cross_section,입체도형의 단면,m1_geo_solid_net,전개도,도형과 측정,입체도형의 성질,도형과 측정,입체도형의 성질,representation,representation,yes,yes,no,represented_by; related_to,5,low,confirm_representation_or_related_edge,"curriculum_math_2022: printed pp. 38-39; [9수03-05], [9수03-07] explanation and considerations; curriculum_math_2022: printed p. 38; [9수03-07]; achievement_math_2022: 입체도형의 성질 section; [9수03-07]~[9수03-08] achievement levels"
53,m1_geo_sphere,구,m1_geo_surface_area,겉넓이,도형과 측정,입체도형의 성질,도형과 측정,입체도형의 성질,sub_concept,procedure,yes,yes,no,used_in; related_to,5,low,confirm_used_in_or_related_edge,curriculum_math_2022: printed p. 38; [9수03-08]; achievement_math_2022: 입체도형의 성질 section; [9수03-07]~[9수03-08] achievement levels
54,m1_geo_sphere,구,m1_geo_volume,부피,도형과 측정,입체도형의 성질,도형과 측정,입체도형의 성질,sub_concept,procedure,yes,yes,no,used_in; related_to,5,low,confirm_used_in_or_related_edge,curriculum_math_2022: printed p. 38; [9수03-08]; achievement_math_2022: 입체도형의 성질 section; [9수03-07]~[9수03-08] achievement levels
55,m1_geo_triangle_construction,삼각형의 작도,m1_geo_triangle_congruence_conditions,삼각형의 합동 조건,도형과 측정,작도와 합동,도형과 측정,작도와 합동,procedure,property,yes,yes,no,used_in; related_to,5,low,confirm_used_in_or_related_edge,curriculum_math_2022: printed p. 37; [9수03-03]; achievement_math_2022: 작도와 합동 section; [9수03-03] achievement levels
56,m1_geo_plane_properties_unit,평면도형의 성질,m1_geo_circle_unit,원의 성질,도형과 측정,평면도형의 성질,도형과 측정,원의 성질,core_concept,core_concept,yes,no,yes,contrasts_with; related_to,5,low,confirm_contrast_or_related_edge,curriculum_math_2022: printed pp. 37-38; [9수03-05]; curriculum_math_2022: printed p. 38; [9수03-06]; achievement_math_2022: 평면도형의 성질 section; [9수03-05] achievement levels; +1 more
57,m1_geo_secant,할선,m1_geo_chord,현,도형과 측정,평면도형의 성질,도형과 측정,평면도형의 성질,term,term,yes,yes,no,contrasts_with; related_to,5,low,confirm_contrast_or_related_edge,curriculum_math_2022: printed pp. 38-39; terms and symbols for 도형과 측정; curriculum_math_2022: printed p. 38; [9수03-06]
58,m1_geo_right_triangle_judgement,세 변의 길이로 직각삼각형 판별,m1_geo_right_triangle,직각삼각형,도형과 측정,피타고라스 정리,도형과 측정,피타고라스 정리,procedure,core_concept,yes,yes,no,used_in; related_to,5,low,confirm_used_in_or_related_edge,curriculum_math_2022: printed p. 39; achievement-standard considerations; achievement_math_2022: 피타고라스 정리 section; [9수03-15] achievement levels
59,m1_factor_quadratic_expression,이차식,m1_quad_eq_quadratic_term,이차항,변화와 관계,다항식의 곱셈과 인수분해,변화와 관계,이차방정식,term,term,yes,no,yes,contrasts_with; related_to,5,low,confirm_contrast_or_related_edge,curriculum_math_2022: printed p. 36; terms usable in teaching and learning situations; achievement_math_2022: 다항식의 곱셈과 인수분해 section; [9수02-19] achievement levels
60,m1_expr_coefficient,계수,m1_expr_degree,차수,변화와 관계,문자의 사용과 식,변화와 관계,문자의 사용과 식,term,term,yes,yes,no,contrasts_with; related_to,5,low,confirm_contrast_or_related_edge,curriculum_math_2022: printed p. 36; terms and symbols for 변화와 관계
61,m1_expr_literal_expression,문자를 사용한 식,m1_repr_expression,식,변화와 관계,문자의 사용과 식,변화와 관계,좌표평면과 그래프,representation,representation,yes,no,yes,represented_by; related_to,5,low,confirm_representation_or_related_edge,curriculum_math_2022: printed p. 34; [9수02-01]; achievement_math_2022: 문자의 사용과 식 section; [9수02-01] achievement levels
62,m1_calc_arithmetic_to_polynomial_extension,수의 사칙연산에서 다항식 계산으로의 확장,m1_calc_monomial_polynomial_mul_div,단항식과 다항식의 곱셈과 나눗셈,변화와 관계,식의 계산,변화와 관계,식의 계산,property,procedure,yes,yes,no,used_in; related_to,5,low,confirm_used_in_or_related_edge,curriculum_math_2022: printed pp. 35-36; achievement-standard explanation and considerations
63,m1_calc_arithmetic_to_polynomial_extension,수의 사칙연산에서 다항식 계산으로의 확장,m1_calc_polynomial_add_sub,다항식의 덧셈과 뺄셈,변화와 관계,식의 계산,변화와 관계,식의 계산,property,procedure,yes,yes,no,used_in; related_to,5,low,confirm_used_in_or_related_edge,curriculum_math_2022: printed pp. 35-36; achievement-standard explanation and considerations
64,m1_calc_simplify_expression,식을 간단히 하기,m1_calc_monomial_polynomial_mul_div,단항식과 다항식의 곱셈과 나눗셈,변화와 관계,식의 계산,변화와 관계,식의 계산,procedure,procedure,yes,yes,no,used_in; related_to,5,low,confirm_used_in_or_related_edge,curriculum_math_2022: printed p. 35; [9수02-08]; achievement_math_2022: 식의 계산 section; [9수02-08] achievement levels
65,m1_calc_simplify_expression,식을 간단히 하기,m1_calc_polynomial_add_sub,다항식의 덧셈과 뺄셈,변화와 관계,식의 계산,변화와 관계,식의 계산,procedure,procedure,yes,yes,no,used_in; related_to,5,low,confirm_used_in_or_related_edge,curriculum_math_2022: printed p. 35; [9수02-08]; achievement_math_2022: 식의 계산 section; [9수02-08] achievement levels
66,m1_calc_unit,식의 계산,m1_eq_unit,일차방정식,변화와 관계,식의 계산,변화와 관계,일차방정식,core_concept,core_concept,yes,no,yes,contrasts_with; related_to,5,low,confirm_contrast_or_related_edge,curriculum_math_2022: printed p. 35; [9수02-08]; curriculum_math_2022: printed p. 35; [9수02-09]; curriculum_math_2022: printed p. 35; [9수02-10]
67,m1_system_modeling,연립일차방정식 세우기,m1_system_solution,연립일차방정식의 해,변화와 관계,연립일차방정식,변화와 관계,연립일차방정식,procedure,term,yes,yes,no,used_in; related_to,5,low,confirm_used_in_or_related_edge,curriculum_math_2022: printed p. 35; [9수02-13]; achievement_math_2022: 연립일차방정식 section; [9수02-13] achievement levels
68,m1_system_modeling,연립일차방정식 세우기,m1_system_solving,연립일차방정식 풀기,변화와 관계,연립일차방정식,변화와 관계,연립일차방정식,procedure,procedure,yes,yes,no,used_in; related_to,5,low,confirm_used_in_or_related_edge,curriculum_math_2022: printed p. 35; [9수02-13]; achievement_math_2022: 연립일차방정식 section; [9수02-13] achievement levels
69,m1_quad_eq_double_root,중근,m1_quad_eq_root_formula,근의 공식,변화와 관계,이차방정식,변화와 관계,이차방정식,term,term,yes,yes,no,contrasts_with; related_to,5,low,confirm_contrast_or_related_edge,curriculum_math_2022: printed p. 36; terms and symbols for 변화와 관계; curriculum_math_2022: printed p. 35; [9수02-20]; achievement_math_2022: 이차방정식 section; [9수02-20] achievement levels
70,m1_quad_eq_modeling,이차방정식 활용 문제 해결,m1_quad_eq_standard_form,이차방정식의 식 표현,변화와 관계,이차방정식,변화와 관계,이차방정식,procedure,representation,yes,yes,no,represented_by; related_to,5,low,confirm_representation_or_related_edge,curriculum_math_2022: printed p. 35; [9수02-20]; curriculum_math_2022: printed p. 36; achievement-standard considerations; achievement_math_2022: 이차방정식 section; [9수02-20] achievement levels
71,m1_quad_eq_quadratic_term,이차항,m1_factor_quadratic_expression,이차식,변화와 관계,이차방정식,변화와 관계,다항식의 곱셈과 인수분해,term,term,yes,no,yes,contrasts_with; related_to,5,low,confirm_contrast_or_related_edge,curriculum_math_2022: printed p. 36; terms usable in teaching and learning situations; achievement_math_2022: 이차방정식 section; [9수02-20] achievement levels
72,m1_quad_eq_root_formula,근의 공식,m1_quad_eq_solution,이차방정식의 해,변화와 관계,이차방정식,변화와 관계,이차방정식,term,term,yes,yes,no,contrasts_with; related_to,5,low,confirm_contrast_or_related_edge,curriculum_math_2022: printed p. 36; terms and symbols for 변화와 관계; curriculum_math_2022: printed p. 35; [9수02-20]; achievement_math_2022: 이차방정식 section; [9수02-20] achievement levels
73,m1_quad_eq_solving,이차방정식 풀기,m1_quad_eq_factorization_solving,인수분해를 이용한 이차방정식 풀이,변화와 관계,이차방정식,변화와 관계,이차방정식,procedure,procedure,yes,yes,no,used_in; related_to,5,low,confirm_used_in_or_related_edge,curriculum_math_2022: printed p. 35; [9수02-20]; achievement_math_2022: 이차방정식 section; [9수02-20] achievement levels
74,m1_quad_eq_standard_form,이차방정식의 식 표현,m1_quad_eq_solving,이차방정식 풀기,변화와 관계,이차방정식,변화와 관계,이차방정식,representation,procedure,yes,yes,no,represented_by; related_to,5,low,confirm_representation_or_related_edge,curriculum_math_2022: printed p. 35; [9수02-20]; achievement_math_2022: 이차방정식 section; [9수02-20] achievement levels
75,m1_quad_func_graph_drawing,이차함수 그래프 그리기,m1_quad_func_graph_properties,이차함수 그래프의 성질,변화와 관계,이차함수와 그 그래프,변화와 관계,이차함수와 그 그래프,procedure,property,yes,yes,no,used_in; related_to,5,low,confirm_used_in_or_related_edge,curriculum_math_2022: printed p. 35; [9수02-22]; achievement_math_2022: 이차함수와 그 그래프 section; [9수02-22] achievement levels
