concept_id,label_ko,grade,domain,unit,confidence,source_ref_count,source_count,evidence_kind_count,sources,evidence_kinds,has_curriculum_evidence,has_achievement_evidence,has_textbook_evidence,evidence_depth,needs_textbook_evidence
m1_num_prime_composite_classification,소수와 합성수 판별하기,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,high,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; term_list,yes,yes,no,official_dual_source,yes
m1_num_one_not_prime_or_composite,1은 소수도 합성수도 아님,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,medium,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; term_list,yes,yes,no,official_dual_source,yes
m1_num_prime_factorization_division_method,나눗셈을 이용한 소인수분해,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,medium,2,2,2,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard,yes,yes,no,official_dual_source,yes
m1_num_prime_factorization_exponent_notation,소인수분해 결과를 거듭제곱으로 정리하기,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,high,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; term_list,yes,yes,no,official_dual_source,yes
m1_num_prime_factorization_uniqueness,소인수분해의 유일성,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,low,2,2,2,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard,yes,yes,no,official_dual_source,yes
m1_num_common_divisor,공약수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,medium,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; teaching_note,yes,yes,no,official_dual_source,yes
m1_num_common_multiple,공배수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,medium,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; teaching_note,yes,yes,no,official_dual_source,yes
m1_num_common_prime_factor,공통 소인수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,medium,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; teaching_note,yes,yes,no,official_dual_source,yes
m1_num_select_common_prime_factors,공통 소인수 선택하기,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,medium,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; teaching_note,yes,yes,no,official_dual_source,yes
m1_num_select_all_prime_factors,필요한 모든 소인수 선택하기,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,medium,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; teaching_note,yes,yes,no,official_dual_source,yes
m1_num_gcd_prime_factor_product,최대공약수를 공통 소인수의 곱으로 나타내기,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,high,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; teaching_note,yes,yes,no,official_dual_source,yes
m1_num_lcm_prime_factor_product,최소공배수를 필요한 모든 소인수의 곱으로 나타내기,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,high,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; teaching_note,yes,yes,no,official_dual_source,yes
m1_num_gcd_lcm_principle_explanation,최대공약수와 최소공배수의 원리 설명하기,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,high,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; teaching_note,yes,yes,no,official_dual_source,yes
m1_num_coprime_judgement_prime_factorization,소인수분해로 서로소 판별하기,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,medium,4,2,4,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; teaching_note; term_list,yes,yes,no,official_dual_source,yes
m1_num_coprime,서로소,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,medium,2,1,2,curriculum_math_2022,achievement_standard; term_list,yes,no,no,official_single_source,yes
m1_num_divisor,약수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,medium,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; teaching_note,yes,yes,no,official_dual_source,yes
m1_num_multiple,배수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,medium,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; teaching_note,yes,yes,no,official_dual_source,yes
m1_num_gcd,최대공약수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,high,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; teaching_note,yes,yes,no,official_dual_source,yes
m1_num_lcm,최소공배수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,high,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; teaching_note,yes,yes,no,official_dual_source,yes
m1_num_find_gcd_lcm_prime_factorization,소인수분해로 최대공약수와 최소공배수 구하기,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,high,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; teaching_note,yes,yes,no,official_dual_source,yes
m1_mis_prime_one,1을 소수나 합성수로 보는 오류,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,low,2,2,2,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard,yes,yes,no,official_dual_source,yes
m1_mis_gcd_lcm_scope,최대공약수·최소공배수 활용 문제를 범위로 오인하는 오류,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,low,1,1,1,curriculum_math_2022,teaching_note,yes,no,no,official_single_source,yes
m1_mis_gcd_lcm_common_all_prime_factor,최대공약수와 최소공배수에서 공통 소인수와 모든 소인수를 뒤바꾸는 오류,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,low,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; teaching_note,yes,yes,no,official_dual_source,yes
m1_num_integer_rational_unit,정수와 유리수,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,high,9,3,4,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,achievement_level; achievement_standard; research_report_achievement_level_context; teaching_note,yes,yes,no,official_dual_source,yes
m1_num_negative_need,음수의 필요성,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,high,3,3,3,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,achievement_level; achievement_standard; research_report_achievement_level_context,yes,yes,no,official_dual_source,yes
m1_num_positive_number,양수,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,high,4,3,4,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,achievement_level; achievement_standard; research_report_achievement_level_context; term_list,yes,yes,no,official_dual_source,yes
m1_num_negative_number,음수,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,high,4,3,4,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,achievement_level; achievement_standard; research_report_achievement_level_context; term_list,yes,yes,no,official_dual_source,yes
m1_num_positive_integer,양의 정수,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,high,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; term_list,yes,yes,no,official_dual_source,yes
m1_num_negative_integer,음의 정수,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,high,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; term_list,yes,yes,no,official_dual_source,yes
m1_num_integer,정수,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,high,4,3,4,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,achievement_level; achievement_standard; research_report_achievement_level_context; term_list,yes,yes,no,official_dual_source,yes
m1_num_zero,0,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,medium,3,3,3,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,achievement_level; achievement_standard; research_report_achievement_level_context,yes,yes,no,official_dual_source,yes
m1_num_rational_number,유리수,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,high,6,3,4,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,achievement_level; achievement_standard; research_report_achievement_level_context; term_list,yes,yes,no,official_dual_source,yes
m1_num_rational_fraction_form,유리수의 분수 꼴 표현,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,medium,4,2,2,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard,yes,yes,no,official_dual_source,yes
m1_num_ratio,비,중1(교육과정 학년군: 중1-3),수와 연산,공통 선수개념,low,15,3,5,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,achievement_level; achievement_standard; research_report_assessment_item_context; research_report_prerequisite_context; teaching_note,yes,yes,no,official_dual_source,yes
m1_num_positive_rational,양의 유리수,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,high,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; term_list,yes,yes,no,official_dual_source,yes
m1_num_negative_rational,음의 유리수,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,high,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; term_list,yes,yes,no,official_dual_source,yes
m1_num_number_line,수직선,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,high,4,3,4,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,achievement_level; achievement_standard; research_report_achievement_level_context; term_list,yes,yes,no,official_dual_source,yes
m1_num_absolute_value,절댓값,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,high,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; term_list,yes,yes,no,official_dual_source,yes
m1_num_opposite_numbers,절댓값이 같고 부호가 다른 두 수,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,low,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; term_list,yes,yes,no,official_dual_source,yes
m1_num_plus_sign,양의 부호,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,medium,1,1,1,curriculum_math_2022,term_list,yes,no,no,official_single_source,yes
m1_num_minus_sign,음의 부호,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,medium,1,1,1,curriculum_math_2022,term_list,yes,no,no,official_single_source,yes
m1_num_order_relation,정수와 유리수의 대소 관계,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,high,4,3,4,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,achievement_level; achievement_standard; research_report_achievement_level_context; term_list,yes,yes,no,official_dual_source,yes
m1_num_number_line_position_order,수직선에서 오른쪽에 있는 수가 더 큼,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,medium,3,3,3,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,achievement_level; achievement_standard; research_report_achievement_level_context,yes,yes,no,official_dual_source,yes
m1_num_four_operations,정수와 유리수의 사칙계산,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,high,4,3,4,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,achievement_level; achievement_standard; research_report_achievement_level_context; teaching_note,yes,yes,no,official_dual_source,yes
m1_num_addition,덧셈,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,medium,3,3,3,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,achievement_level; achievement_standard; research_report_achievement_level_context,yes,yes,no,official_dual_source,yes
m1_num_subtraction,뺄셈,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,medium,3,3,3,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,achievement_level; achievement_standard; research_report_achievement_level_context,yes,yes,no,official_dual_source,yes
m1_num_multiplication,곱셈,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,medium,3,3,3,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,achievement_level; achievement_standard; research_report_achievement_level_context,yes,yes,no,official_dual_source,yes
m1_num_division,나눗셈,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,medium,3,3,3,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,achievement_level; achievement_standard; research_report_achievement_level_context,yes,yes,no,official_dual_source,yes
m1_num_integer_rational_add_sub,정수와 유리수의 덧셈과 뺄셈,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,high,3,3,3,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,achievement_level; achievement_standard; research_report_achievement_level_context,yes,yes,no,official_dual_source,yes
m1_num_same_sign_addition,부호가 같은 수의 덧셈,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,medium,3,3,3,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,achievement_level; achievement_standard; research_report_achievement_level_context,yes,yes,no,official_dual_source,yes
m1_num_different_sign_addition,부호가 다른 수의 덧셈,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,medium,3,3,3,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,achievement_level; achievement_standard; research_report_achievement_level_context,yes,yes,no,official_dual_source,yes
m1_num_subtraction_as_add_opposite,뺄셈을 반대 부호의 덧셈으로 바꾸기,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,low,2,2,2,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard,yes,yes,no,official_dual_source,yes
m1_num_integer_rational_mul_div,정수와 유리수의 곱셈과 나눗셈,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,high,3,3,3,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,achievement_level; achievement_standard; research_report_achievement_level_context,yes,yes,no,official_dual_source,yes
m1_num_mul_div_sign_rule,곱셈과 나눗셈의 부호 결정,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,medium,3,3,3,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,achievement_level; achievement_standard; research_report_achievement_level_context,yes,yes,no,official_dual_source,yes
m1_num_division_as_multiply_reciprocal,나눗셈을 역수의 곱셈으로 바꾸기,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,medium,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; term_list,yes,yes,no,official_dual_source,yes
m1_num_operation_laws,연산 법칙,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,high,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; term_list,yes,yes,no,official_dual_source,yes
m1_num_commutative_law,교환법칙,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,high,2,2,2,achievement_math_2022; curriculum_math_2022,achievement_level; term_list,yes,yes,no,official_dual_source,yes
m1_num_associative_law,결합법칙,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,high,2,2,2,achievement_math_2022; curriculum_math_2022,achievement_level; term_list,yes,yes,no,official_dual_source,yes
m1_num_distributive_law,분배법칙,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,high,2,2,2,achievement_math_2022; curriculum_math_2022,achievement_level; term_list,yes,yes,no,official_dual_source,yes
m1_num_reciprocal,역수,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,high,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; term_list,yes,yes,no,official_dual_source,yes
m1_num_mixed_calculation,정수와 유리수의 혼합계산,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,medium,4,3,4,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,achievement_level; achievement_standard; research_report_achievement_level_context; teaching_note,yes,yes,no,official_dual_source,yes
m1_num_operation_order_mixed,혼합계산의 계산 순서,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,medium,4,3,4,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,achievement_level; achievement_standard; research_report_achievement_level_context; teaching_note,yes,yes,no,official_dual_source,yes
m1_mis_sign_operation,부호와 연산 기호를 혼동하는 오류,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,low,2,2,2,achievement_math_2022; curriculum_math_2022,achievement_level; term_list,yes,yes,no,official_dual_source,yes
m1_mis_absolute_value_positive,절댓값을 항상 양수로만 말하는 오류,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,low,2,2,2,achievement_math_2022; curriculum_math_2022,achievement_level; term_list,yes,yes,no,official_dual_source,yes
m1_mis_negative_order,음수의 대소를 절댓값 크기로 판단하는 오류,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,low,2,2,2,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard,yes,yes,no,official_dual_source,yes
m1_num_repeating_decimal_unit,유리수와 순환소수,중2(교육과정 학년군: 중1-3),수와 연산,유리수와 순환소수,high,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; teaching_note,yes,yes,no,official_dual_source,yes
m1_num_irreducible_fraction,기약분수,중2(교육과정 학년군: 중1-3),수와 연산,유리수와 순환소수,medium,3,2,2,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard,yes,yes,no,official_dual_source,yes
m1_num_reduce_fraction_lowest_terms,분수를 기약분수로 고치기,중2(교육과정 학년군: 중1-3),수와 연산,유리수와 순환소수,medium,3,2,2,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard,yes,yes,no,official_dual_source,yes
m1_num_finite_decimal,유한소수,중2(교육과정 학년군: 중1-3),수와 연산,유리수와 순환소수,high,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; term_list,yes,yes,no,official_dual_source,yes
m1_num_fraction_to_decimal_division,분수를 소수로 나타내기,중2(교육과정 학년군: 중1-3),수와 연산,유리수와 순환소수,medium,2,2,2,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard,yes,yes,no,official_dual_source,yes
m1_num_decimal_remainder_repetition,분수 나눗셈에서 나머지 반복,중2(교육과정 학년군: 중1-3),수와 연산,유리수와 순환소수,medium,2,2,2,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard,yes,yes,no,official_dual_source,yes
m1_num_terminating_decimal_denominator_condition,유한소수가 되는 분모 조건,중2(교육과정 학년군: 중1-3),수와 연산,유리수와 순환소수,medium,4,2,2,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard,yes,yes,no,official_dual_source,yes
m1_num_repeating_decimal_denominator_condition,순환소수가 되는 분모 조건,중2(교육과정 학년군: 중1-3),수와 연산,유리수와 순환소수,medium,4,2,2,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard,yes,yes,no,official_dual_source,yes
m1_num_denominator_power_of_ten_conversion,분모를 10의 거듭제곱으로 만들기,중2(교육과정 학년군: 중1-3),수와 연산,유리수와 순환소수,medium,4,2,2,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard,yes,yes,no,official_dual_source,yes
m1_num_finite_decimal_to_fraction,유한소수를 분수로 나타내기,중2(교육과정 학년군: 중1-3),수와 연산,유리수와 순환소수,medium,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; term_list,yes,yes,no,official_dual_source,yes
m1_num_infinite_decimal,무한소수,중2(교육과정 학년군: 중1-3),수와 연산,유리수와 순환소수,high,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; term_list,yes,yes,no,official_dual_source,yes
m1_num_repeating_decimal,순환소수,중2(교육과정 학년군: 중1-3),수와 연산,유리수와 순환소수,high,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; term_list,yes,yes,no,official_dual_source,yes
m1_num_repetend,순환마디,중2(교육과정 학년군: 중1-3),수와 연산,유리수와 순환소수,high,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; term_list,yes,yes,no,official_dual_source,yes
m1_num_repetend_identification,순환마디 찾기,중2(교육과정 학년군: 중1-3),수와 연산,유리수와 순환소수,medium,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; term_list,yes,yes,no,official_dual_source,yes
m1_num_repeating_decimal_notation,순환소수 표현,중2(교육과정 학년군: 중1-3),수와 연산,유리수와 순환소수,high,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; term_list,yes,yes,no,official_dual_source,yes
m1_num_repeating_decimal_dot_notation,순환마디 위 점 표기,중2(교육과정 학년군: 중1-3),수와 연산,유리수와 순환소수,medium,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; term_list,yes,yes,no,official_dual_source,yes
m1_num_rational_repeating_relation,유리수와 순환소수의 관계,중2(교육과정 학년군: 중1-3),수와 연산,유리수와 순환소수,high,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; teaching_note,yes,yes,no,official_dual_source,yes
m1_num_repeating_decimal_to_fraction,순환소수를 분수로 나타내기,중2(교육과정 학년군: 중1-3),수와 연산,유리수와 순환소수,high,2,2,2,achievement_math_2022; curriculum_math_2022,achievement_level; teaching_note,yes,yes,no,official_dual_source,yes
m1_num_repeating_decimal_equation_conversion,식을 세워 순환소수를 분수로 나타내기,중2(교육과정 학년군: 중1-3),수와 연산,유리수와 순환소수,medium,2,2,2,achievement_math_2022; curriculum_math_2022,achievement_level; teaching_note,yes,yes,no,official_dual_source,yes
m1_num_fraction_decimal_classification,분수가 유한소수 또는 순환소수로 나타나는지 구분하기,중2(교육과정 학년군: 중1-3),수와 연산,유리수와 순환소수,medium,1,1,1,achievement_math_2022,achievement_level,no,yes,no,official_single_source,yes
m1_mis_finite_to_repeating_scope,유한소수를 순환소수로 나타내는 활동을 범위로 오인하는 오류,중2(교육과정 학년군: 중1-3),수와 연산,유리수와 순환소수,low,1,1,1,curriculum_math_2022,teaching_note,yes,no,no,official_single_source,yes
m1_mis_fraction_decimal_denominator_not_reduced,기약분수로 고치지 않고 분모 조건을 판단하는 오류,중2(교육과정 학년군: 중1-3),수와 연산,유리수와 순환소수,low,1,1,1,achievement_math_2022,achievement_level,no,yes,no,official_single_source,yes
m1_mis_denominator_condition_2_5,분모의 소인수 2와 5 조건을 반대로 적용하는 오류,중2(교육과정 학년군: 중1-3),수와 연산,유리수와 순환소수,low,1,1,1,achievement_math_2022,achievement_level,no,yes,no,official_single_source,yes
m1_mis_repetend_dot_notation_scope,순환마디 점 표시 범위를 잘못 잡는 오류,중2(교육과정 학년군: 중1-3),수와 연산,유리수와 순환소수,low,2,2,2,achievement_math_2022; curriculum_math_2022,achievement_level; term_list,yes,yes,no,official_dual_source,yes
m1_mis_repeating_decimal_shift_digits,순환마디 자리수를 맞추지 않고 식을 빼는 오류,중2(교육과정 학년군: 중1-3),수와 연산,유리수와 순환소수,low,2,2,2,achievement_math_2022; curriculum_math_2022,achievement_level; teaching_note,yes,yes,no,official_dual_source,yes
m1_num_square_root_real_unit,제곱근과 실수,중3(교육과정 학년군: 중1-3),수와 연산,제곱근과 실수,high,10,3,4,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,achievement_level; achievement_standard; research_report_achievement_level_context; teaching_note,yes,yes,no,official_dual_source,yes
m1_num_square_root,제곱근,중3(교육과정 학년군: 중1-3),수와 연산,제곱근과 실수,high,4,3,4,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,achievement_level; achievement_standard; research_report_achievement_level_context; term_list,yes,yes,no,official_dual_source,yes
m1_num_square_number,제곱수,중3(교육과정 학년군: 중1-3),수와 연산,제곱근과 실수,medium,1,1,1,achievement_research_report_2022,research_report_achievement_level_context,no,no,no,official_single_source,yes
m1_num_find_square_root,제곱근 구하기,중3(교육과정 학년군: 중1-3),수와 연산,제곱근과 실수,high,3,3,3,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,achievement_level; achievement_standard; research_report_achievement_level_context,yes,yes,no,official_dual_source,yes
m1_num_square_root_property,제곱근의 성질,중3(교육과정 학년군: 중1-3),수와 연산,제곱근과 실수,high,3,3,3,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,achievement_level; achievement_standard; research_report_achievement_level_context,yes,yes,no,official_dual_source,yes
m1_num_radical_sign,근호,중3(교육과정 학년군: 중1-3),수와 연산,제곱근과 실수,high,4,3,4,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,achievement_level; achievement_standard; research_report_achievement_level_context; term_list,yes,yes,no,official_dual_source,yes
m1_num_represent_square_root_radical,제곱근을 근호로 나타내기,중3(교육과정 학년군: 중1-3),수와 연산,제곱근과 실수,high,3,3,3,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,achievement_level; achievement_standard; research_report_achievement_level_context,yes,yes,no,official_dual_source,yes
m1_num_compare_square_roots,제곱근의 대소 관계,중3(교육과정 학년군: 중1-3),수와 연산,제곱근과 실수,high,3,3,3,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,achievement_level; achievement_standard; research_report_achievement_level_context,yes,yes,no,official_dual_source,yes
m1_num_irrational_number,무리수,중3(교육과정 학년군: 중1-3),수와 연산,제곱근과 실수,high,5,3,5,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,achievement_level; achievement_standard; research_report_achievement_level_context; teaching_note; term_list,yes,yes,no,official_dual_source,yes
m1_num_real_number,실수,중3(교육과정 학년군: 중1-3),수와 연산,제곱근과 실수,high,6,3,4,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,achievement_level; achievement_standard; research_report_achievement_level_context; term_list,yes,yes,no,official_dual_source,yes
m1_num_real_number_system,실수의 수 체계,중3(교육과정 학년군: 중1-3),수와 연산,제곱근과 실수,high,3,3,3,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,achievement_level; achievement_standard; research_report_achievement_level_context,yes,yes,no,official_dual_source,yes
