concept_id,label_ko,grade,domain,unit,concept_type,confidence,source_ref_count,current_sources,match_count,matched_terms,matched_pages,first_matched_page,candidate_status,recommended_action,notes
m1_prop_inverse_proportion,반비례,중1(교육과정 학년군: 중1-3),변화와 관계,좌표평면과 그래프,core_concept,medium,4,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,54,반비례; 반비례 관계,57; 58; 59; 215; 232; 233; 234,57,research_report_signal,inspect_research_report_context_before_source_ref_upgrade,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_geo_pyramid,뿔 모양 입체도형,중1(교육과정 학년군: 중1-3),도형과 측정,입체도형의 성질,sub_concept,medium,4,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,51,각뿔; 원뿔,174; 181; 182; 263; 264; 265,174,research_report_signal,inspect_research_report_context_before_source_ref_upgrade,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_geo_prism,기둥 모양 입체도형,중1(교육과정 학년군: 중1-3),도형과 측정,입체도형의 성질,sub_concept,medium,4,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,47,각기둥; 원기둥,103; 108; 109; 174; 181; 182; 263; 264,103,research_report_signal,inspect_research_report_context_before_source_ref_upgrade,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_func_intersection_point,교점,중1(교육과정 학년군: 중1-3),변화와 관계,일차함수와 일차방정식의 관계,term,medium,2,achievement_math_2022; achievement_research_report_2022,36,교점; 그래프의 교점,57; 58; 219; 232; 233; 234; 254,57,research_report_signal,inspect_research_report_context_before_source_ref_upgrade,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_num_multiple,배수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,term,medium,3,achievement_math_2022; curriculum_math_2022,35,배수,13; 26; 169; 179; 180; 211; 230; 231,13,research_report_signal,inspect_research_report_context_before_source_ref_upgrade,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_num_divisor,약수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,term,medium,3,achievement_math_2022; curriculum_math_2022,34,약수,13; 26; 169; 179; 180; 211; 230; 231,13,research_report_signal,inspect_research_report_context_before_source_ref_upgrade,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_geo_correspondence,도형의 대응,중2(교육과정 학년군: 중1-3),도형과 측정,도형의 닮음,term,medium,3,achievement_math_2022; curriculum_math_2022,25,대응,5; 12; 22; 24; 54; 75; 76; 84; 171; 173; 180; 181,5,research_report_signal,inspect_research_report_context_before_source_ref_upgrade,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_data_mean,평균,중1(교육과정 학년군: 중1-3),자료와 가능성,대푯값,term,medium,3,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,24,평균,91; 177; 183; 186; 187,91,research_report_signal,inspect_research_report_context_before_source_ref_upgrade,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_calc_expansion,전개,중1(교육과정 학년군: 중1-3),변화와 관계,식의 계산,procedure,medium,3,achievement_math_2022; curriculum_math_2022,20,전개,173; 174; 181; 182; 219,173,research_report_signal,inspect_research_report_context_before_source_ref_upgrade,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_geo_solid_net,전개도,중1(교육과정 학년군: 중1-3),도형과 측정,입체도형의 성질,representation,medium,5,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,19,전개도,173; 174; 181; 182,173,research_report_signal,inspect_research_report_context_before_source_ref_upgrade,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_geo_diagonal,대각선,중1(교육과정 학년군: 중1-3),도형과 측정,평면도형의 성질,term,medium,3,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,14,대각선,78; 213; 222; 231; 235; 236; 237; 238,78,research_report_signal,inspect_research_report_context_before_source_ref_upgrade,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_data_or_cases,사건 A 또는 사건 B가 일어나는 경우의 수,중2(교육과정 학년군: 중1-3),자료와 가능성,경우의 수와 확률,sub_concept,medium,5,achievement_math_2022; achievement_research_report_2022,12,사건 A 또는 사건 B가 일어나는 경우의 수,228; 240; 266; 267; 268,228,research_report_signal,inspect_research_report_context_before_source_ref_upgrade,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_data_and_cases,사건 A와 사건 B가 동시에 일어나는 경우의 수,중2(교육과정 학년군: 중1-3),자료와 가능성,경우의 수와 확률,sub_concept,medium,5,achievement_math_2022; achievement_research_report_2022,11,사건 A와 사건 B가 동시에 일어나는 경우의 수,228; 240; 266; 267; 268,228,research_report_signal,inspect_research_report_context_before_source_ref_upgrade,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_data_event_cases_count,사건이 일어나는 경우의 수,중2(교육과정 학년군: 중1-3),자료와 가능성,경우의 수와 확률,sub_concept,medium,3,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,7,사건이 일어나는 경우의 수; 주어진 사건이 일어나는 경우의 수,228; 241; 260; 266,228,research_report_signal,inspect_research_report_context_before_source_ref_upgrade,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_quad_eq_quadratic_term,이차항,중3(교육과정 학년군: 중1-3),변화와 관계,이차방정식,term,medium,2,achievement_math_2022; curriculum_math_2022,6,이차항,58; 59; 220; 234; 235,58,research_report_signal,inspect_research_report_context_before_source_ref_upgrade,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_eq_both_sides,양변,중1(교육과정 학년군: 중1-3),변화와 관계,일차방정식,term,medium,1,curriculum_math_2022,4,양변,98; 217,98,research_report_signal,inspect_research_report_context_before_source_ref_upgrade,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_data_and_probability,사건 A와 사건 B가 동시에 일어날 확률,중2(교육과정 학년군: 중1-3),자료와 가능성,경우의 수와 확률,sub_concept,medium,3,achievement_math_2022; achievement_research_report_2022,4,사건 A와 사건 B가 동시에 일어날 확률,228; 260,228,research_report_signal,inspect_research_report_context_before_source_ref_upgrade,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_data_total_cases,전체 경우의 수,중2(교육과정 학년군: 중1-3),자료와 가능성,경우의 수와 확률,sub_concept,medium,3,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,4,모든 경우의 수,260; 262,260,research_report_signal,inspect_research_report_context_before_source_ref_upgrade,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_geo_quadrilateral_relationship,여러 가지 사각형 사이의 관계,중2(교육과정 학년군: 중1-3),도형과 측정,삼각형과 사각형의 성질,property,medium,2,achievement_math_2022; curriculum_math_2022,3,여러 가지 사각형 사이의 관계,235; 236; 237,235,research_report_signal,inspect_research_report_context_before_source_ref_upgrade,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_num_unit_square_diagonal,한 변의 길이가 1인 정사각형의 대각선,중3(교육과정 학년군: 중1-3),수와 연산,제곱근과 실수,representation,medium,3,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,3,한 변의 길이가 1인 정사각형의 대각선,213; 231,213,research_report_signal,inspect_research_report_context_before_source_ref_upgrade,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_geo_pythagorean_converse,피타고라스 정리의 역,중2(교육과정 학년군: 중1-3),도형과 측정,피타고라스 정리,property,medium,2,achievement_math_2022; curriculum_math_2022,2,피타고라스 정리의 역,269,269,research_report_signal,inspect_research_report_context_before_source_ref_upgrade,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_geo_solid_cross_section,입체도형의 단면,중1(교육과정 학년군: 중1-3),도형과 측정,입체도형의 성질,representation,medium,3,achievement_math_2022; curriculum_math_2022,1,단면,265,265,research_report_signal,inspect_research_report_context_before_source_ref_upgrade,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_factor_quadratic_expression,이차식,중3(교육과정 학년군: 중1-3),변화와 관계,다항식의 곱셈과 인수분해,term,medium,2,achievement_math_2022; curriculum_math_2022,1,이차식,219,219,research_report_signal,inspect_research_report_context_before_source_ref_upgrade,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_func_intersection_count,교점의 개수,중1(교육과정 학년군: 중1-3),변화와 관계,일차함수와 일차방정식의 관계,property,medium,1,achievement_math_2022,1,교점의 개수,219,219,research_report_signal,inspect_research_report_context_before_source_ref_upgrade,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_data_or_probability,사건 A 또는 사건 B가 일어날 확률,중2(교육과정 학년군: 중1-3),자료와 가능성,경우의 수와 확률,sub_concept,medium,3,achievement_math_2022; achievement_research_report_2022,1,사건 A 또는 사건 B가 일어날 확률,228,228,research_report_signal,inspect_research_report_context_before_source_ref_upgrade,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_graph_graph,그래프,중1(교육과정 학년군: 중1-3),변화와 관계,좌표평면과 그래프,representation,high,3,achievement_math_2022; curriculum_math_2022,563,그래프,12; 22; 45; 54; 57; 58; 59; 61; 62; 77; 79; 87; 88; 89; 90; 106; 110; 135; 140; 177; 183; 184; 186; 190,12,research_report_signal,use_as_supplemental_trace_only,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_data_dataset,자료,중1(교육과정 학년군: 중1-3),자료와 가능성,자료와 가능성,core_concept,high,4,achievement_math_2022; curriculum_math_2022,390,data; 자료,2; 6; 9; 12; 13; 14; 21; 22; 23; 24; 26; 45; 46; 60; 61; 62; 76; 77; 78; 79; 80; 81; 83; 88,2,research_report_signal,use_as_supplemental_trace_only,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_func_function,함수,중1(교육과정 학년군: 중1-3),변화와 관계,일차함수와 그 그래프,core_concept,high,4,achievement_math_2022; curriculum_math_2022,357,함수,54; 57; 58; 59; 62; 87; 88; 89; 90; 218; 219; 220; 232; 233; 234; 235; 242; 243; 244; 245; 246; 252; 253; 254,54,research_report_signal,use_as_supplemental_trace_only,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_geo_quadrilateral,사각형,중2(교육과정 학년군: 중1-3),도형과 측정,삼각형과 사각형의 성질,core_concept,high,2,achievement_math_2022; curriculum_math_2022,242,사각형,60; 77; 78; 79; 80; 84; 85; 86; 103; 108; 109; 111; 112; 115; 116; 117; 118; 119; 120; 132; 135; 138; 139; 141,60,research_report_signal,use_as_supplemental_trace_only,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_num_prime_number,소수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,term,high,3,achievement_math_2022; curriculum_math_2022,238,소수,26; 27; 48; 60; 61; 84; 90; 96; 114; 117; 120; 124; 128; 129; 136; 137; 141; 145; 150; 151; 153; 158; 161; 164,26,research_report_signal,use_as_supplemental_trace_only,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_func_linear_function,일차함수,중1(교육과정 학년군: 중1-3),변화와 관계,일차함수와 그 그래프,core_concept,high,3,achievement_math_2022; curriculum_math_2022,211,일차함수,54; 57; 58; 59; 62; 87; 88; 89; 90; 218; 219; 232; 233; 234; 235; 242; 252; 253; 254; 255; 256; 257; 258; 259,54,research_report_signal,use_as_supplemental_trace_only,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_func_linear_graph,일차함수의 그래프,중1(교육과정 학년군: 중1-3),변화와 관계,일차함수와 그 그래프,representation,high,3,achievement_math_2022; curriculum_math_2022,172,일차함수의 그래프; 함수의 그래프,54; 57; 58; 59; 87; 88; 89; 90; 218; 219; 220; 232; 233; 234; 235; 242; 252; 253; 254; 255; 256; 257; 258,54,research_report_signal,use_as_supplemental_trace_only,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_num_integer,정수,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,core_concept,high,4,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,163,정수,5; 6; 7; 9; 12; 13; 14; 15; 16; 19; 20; 21; 22; 23; 24; 25; 26; 27; 29; 31; 33; 35; 37; 39,5,research_report_signal,use_as_supplemental_trace_only,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_eq_equation,방정식,중1(교육과정 학년군: 중1-3),변화와 관계,일차방정식,core_concept,high,3,achievement_math_2022; curriculum_math_2022,129,방정식,45; 54; 55; 56; 57; 58; 59; 214; 217; 219; 220; 232; 233; 234; 235,45,research_report_signal,use_as_supplemental_trace_only,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_data_event,사건,중2(교육과정 학년군: 중1-3),자료와 가능성,경우의 수와 확률,term,high,3,achievement_math_2022; curriculum_math_2022,119,사건,62; 79; 80; 178; 183; 228; 239; 240; 241; 242; 260; 262; 266; 267; 268,62,research_report_signal,use_as_supplemental_trace_only,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_geo_similarity_unit,도형의 닮음,중2(교육과정 학년군: 중1-3),도형과 측정,도형의 닮음,core_concept,high,4,achievement_math_2022; curriculum_math_2022,106,닮음; 도형의 닮음,77; 78; 79; 80; 224; 235; 236; 237; 238; 263; 265,77,research_report_signal,use_as_supplemental_trace_only,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_num_natural_number,자연수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,term,high,3,achievement_math_2022; curriculum_math_2022,101,자연수,26; 27; 48; 49; 50; 51; 127; 136; 137; 165; 168; 170; 171; 179; 180; 209; 211; 213; 230; 231; 244,26,research_report_signal,use_as_supplemental_trace_only,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_geo_pythagorean_unit,피타고라스 정리,중2(교육과정 학년군: 중1-3),도형과 측정,피타고라스 정리,core_concept,high,2,achievement_math_2022; curriculum_math_2022,97,피타고라스; 피타고라스 정리,62; 77; 78; 79; 80; 225; 235; 236; 237; 238; 242; 269; 270; 271,62,research_report_signal,use_as_supplemental_trace_only,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_geo_pythagorean_theorem,피타고라스 정리,중2(교육과정 학년군: 중1-3),도형과 측정,피타고라스 정리,property,high,3,achievement_math_2022; curriculum_math_2022,97,피타고라스; 피타고라스 정리,62; 77; 78; 79; 80; 225; 235; 236; 237; 238; 242; 269; 270; 271,62,research_report_signal,use_as_supplemental_trace_only,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_eq_equality,등식,중1(교육과정 학년군: 중1-3),변화와 관계,일차방정식,term,high,3,achievement_math_2022; curriculum_math_2022,96,등식,45; 54; 55; 56; 57; 58; 59; 214; 217; 232; 233; 234; 235,45,research_report_signal,use_as_supplemental_trace_only,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_data_probability,확률,중2(교육과정 학년군: 중1-3),자료와 가능성,경우의 수와 확률,core_concept,high,4,achievement_math_2022; curriculum_math_2022,92,확률,62; 77; 78; 79; 80; 228; 239; 240; 241; 242; 260; 261; 262,62,research_report_signal,use_as_supplemental_trace_only,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_geo_plane,평면,중1(교육과정 학년군: 중1-3),도형과 측정,기본 도형,term,high,2,achievement_math_2022; curriculum_math_2022,84,평면,12; 54; 60; 77; 78; 84; 103; 109; 110; 112; 130; 138; 139; 141; 154; 156; 175; 181; 182; 215; 221; 222; 224; 235,12,research_report_signal,use_as_supplemental_trace_only,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_geo_volume,부피,중1(교육과정 학년군: 중1-3),도형과 측정,입체도형의 성질,procedure,high,2,achievement_math_2022; curriculum_math_2022,83,부피,62; 77; 79; 80; 176; 177; 181; 182; 222; 224; 235; 236; 237; 238; 242; 263; 264; 265,62,research_report_signal,use_as_supplemental_trace_only,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_geo_similarity,닮음,중2(교육과정 학년군: 중1-3),도형과 측정,도형의 닮음,core_concept,high,3,achievement_math_2022; curriculum_math_2022,80,닮음,77; 78; 79; 80; 224; 235; 236; 237; 238; 263; 265,77,research_report_signal,use_as_supplemental_trace_only,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_geo_trig_unit,삼각비,중3(교육과정 학년군: 중1-3),도형과 측정,삼각비,core_concept,high,4,achievement_math_2022; curriculum_math_2022,79,삼각비,62; 77; 78; 79; 225; 235; 236; 237; 238; 242; 247; 248; 250,62,research_report_signal,use_as_supplemental_trace_only,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_geo_trigonometric_ratio,삼각비,중3(교육과정 학년군: 중1-3),도형과 측정,삼각비,core_concept,high,3,achievement_math_2022; curriculum_math_2022,79,삼각비,62; 77; 78; 79; 225; 235; 236; 237; 238; 242; 247; 248; 250,62,research_report_signal,use_as_supplemental_trace_only,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_expr_polynomial,다항식,중1(교육과정 학년군: 중1-3),변화와 관계,문자의 사용과 식,core_concept,high,2,achievement_math_2022; curriculum_math_2022,77,다항식,54; 55; 57; 58; 59; 214; 216; 219; 232; 233; 234; 235,54,research_report_signal,use_as_supplemental_trace_only,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_geo_polygon,다각형,중1(교육과정 학년군: 중1-3),도형과 측정,평면도형의 성질,core_concept,high,2,achievement_math_2022; curriculum_math_2022,76,다각형,61; 78; 79; 132; 138; 139; 141; 156; 157; 158; 175; 222; 227; 235; 236; 237; 238; 239; 240; 241,61,research_report_signal,use_as_supplemental_trace_only,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_num_rational_number,유리수,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,core_concept,high,6,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,73,유리수,26; 27; 45; 48; 211; 212; 213; 230; 231; 232,26,research_report_signal,use_as_supplemental_trace_only,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_ineq_inequality,부등식,중1(교육과정 학년군: 중1-3),변화와 관계,일차부등식,core_concept,high,3,achievement_math_2022; curriculum_math_2022,71,부등식,45; 54; 57; 58; 59; 217; 232; 233; 234; 235,45,research_report_signal,use_as_supplemental_trace_only,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_data_frequency,도수,중1(교육과정 학년군: 중1-3),자료와 가능성,도수분포표와 상대도수,term,high,3,achievement_math_2022; curriculum_math_2022,70,도수,77; 79; 227; 228; 231; 235; 239; 240; 241,77,research_report_signal,use_as_supplemental_trace_only,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_geo_justification,정당화,중2(교육과정 학년군: 중1-3),도형과 측정,삼각형과 사각형의 성질,procedure,high,2,achievement_math_2022; curriculum_math_2022,64,정당화,21; 22; 43; 45; 62; 77; 78; 79; 80; 223; 225; 226; 235; 236; 237; 242; 269,21,research_report_signal,use_as_supplemental_trace_only,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_expr_letter,문자,중1(교육과정 학년군: 중1-3),변화와 관계,문자의 사용과 식,term,high,3,achievement_math_2022; curriculum_math_2022,62,문자,45; 54; 55; 56; 57; 58; 59; 154; 214; 232; 233; 234; 235; 272,45,research_report_signal,use_as_supplemental_trace_only,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_eq_unit,일차방정식,중1(교육과정 학년군: 중1-3),변화와 관계,일차방정식,core_concept,high,2,curriculum_math_2022,62,일차방정식,54; 55; 56; 57; 58; 59; 214; 217; 219; 232; 233; 234; 235,54,research_report_signal,use_as_supplemental_trace_only,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_eq_linear_equation,일차방정식,중1(교육과정 학년군: 중1-3),변화와 관계,일차방정식,core_concept,high,3,achievement_math_2022; curriculum_math_2022,62,일차방정식,54; 55; 56; 57; 58; 59; 214; 217; 219; 232; 233; 234; 235,54,research_report_signal,use_as_supplemental_trace_only,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_func_two_quantity_relation,두 양 사이의 관계,중1(교육과정 학년군: 중1-3),변화와 관계,일차함수와 그 그래프,sub_concept,high,2,achievement_math_2022; curriculum_math_2022,62,두 양 사이의 관계; 두 양의 관계; 양 사이의 관계,62; 129; 137; 218; 242; 243; 245,62,research_report_signal,use_as_supplemental_trace_only,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_data_counting_cases,경우의 수,중2(교육과정 학년군: 중1-3),자료와 가능성,경우의 수와 확률,procedure,high,4,achievement_math_2022; curriculum_math_2022,62,경우의 수,62; 77; 78; 79; 80; 228; 239; 240; 241; 242; 260; 262; 266; 267; 268,62,research_report_signal,use_as_supplemental_trace_only,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_geo_model_tool_solid,모형과 공학 도구로 입체도형 탐구,중1(교육과정 학년군: 중1-3),도형과 측정,입체도형의 성질,procedure,high,3,achievement_math_2022; curriculum_math_2022,61,공학 도구,13; 21; 22; 23; 24; 59; 60; 61; 62; 77; 79; 87; 88; 141; 142; 222; 228; 229; 235; 236; 239; 240; 241; 242,13,research_report_signal,use_as_supplemental_trace_only,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_geo_domain,도형과 측정,중학교(교육과정 학년군: 중1-3),도형과 측정,도형과 측정,core_concept,high,19,curriculum_math_2022,57,도형과 측정,9; 12; 23; 26; 45; 46; 76; 77; 78; 84; 85; 103; 108; 109; 110; 112; 115; 118; 130; 138; 139; 142; 147; 154,9,research_report_signal,use_as_supplemental_trace_only,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_coord_coordinate,좌표,중1(교육과정 학년군: 중1-3),변화와 관계,좌표평면과 그래프,term,high,3,achievement_math_2022; curriculum_math_2022,57,점의 좌표; 좌표,54; 57; 58; 59; 90; 215; 219; 232; 233; 234; 235; 253; 254; 258; 259,54,research_report_signal,use_as_supplemental_trace_only,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_geo_congruence,합동,중1(교육과정 학년군: 중1-3),도형과 측정,작도와 합동,core_concept,high,2,achievement_math_2022; curriculum_math_2022,55,합동,77; 78; 97; 173; 181; 182; 221; 235; 236; 237; 238,77,research_report_signal,use_as_supplemental_trace_only,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_calc_exponent,지수,중1(교육과정 학년군: 중1-3),변화와 관계,식의 계산,term,high,3,achievement_math_2022; curriculum_math_2022,54,지수,54; 57; 58; 59; 97; 148; 149; 150; 152; 157; 159; 160; 163; 166; 168; 179; 216; 217; 219; 232; 233; 234; 235,54,research_report_signal,use_as_supplemental_trace_only,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_num_domain,수와 연산,중학교(교육과정 학년군: 중1-3),수와 연산,수와 연산,core_concept,high,10,curriculum_math_2022,54,수와 연산,9; 12; 26; 27; 45; 46; 47; 48; 49; 52; 76; 100; 107; 121; 125; 136; 137; 151; 162; 165; 168; 179; 180; 202,9,research_report_signal,use_as_supplemental_trace_only,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
