edge_id,source_id,source_label_ko,source_grade,source_domain,source_unit,target_id,target_label_ko,target_grade,target_domain,target_unit,relationship_type,edge_scope,confidence,source_ref_count,source_count,evidence_kind_count,sources,evidence_kinds,has_curriculum_evidence,has_achievement_evidence,has_textbook_evidence,evidence_depth,needs_textbook_evidence,notes
m1_num_prime_factor_unit__contains__m1_num_multiple,m1_num_prime_factor_unit,소인수분해,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_multiple,배수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,contains,same_unit,medium,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; teaching_note,yes,yes,no,official_dual_source,yes,
m1_num_prime_factor_unit__contains__m1_num_gcd,m1_num_prime_factor_unit,소인수분해,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_gcd,최대공약수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,contains,same_unit,high,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; teaching_note,yes,yes,no,official_dual_source,yes,
m1_num_prime_factor_unit__contains__m1_num_lcm,m1_num_prime_factor_unit,소인수분해,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_lcm,최소공배수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,contains,same_unit,high,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; teaching_note,yes,yes,no,official_dual_source,yes,
m1_num_prime_factor_unit__contains__m1_num_find_gcd_lcm_prime_factorization,m1_num_prime_factor_unit,소인수분해,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_find_gcd_lcm_prime_factorization,소인수분해로 최대공약수와 최소공배수 구하기,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,contains,same_unit,high,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; teaching_note,yes,yes,no,official_dual_source,yes,
m1_num_natural_number__prerequisite_for__m1_num_prime_number,m1_num_natural_number,자연수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_prime_number,소수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,prerequisite_for,same_unit,high,2,2,2,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard,yes,yes,no,official_dual_source,yes,
m1_num_natural_number__prerequisite_for__m1_num_composite_number,m1_num_natural_number,자연수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_composite_number,합성수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,prerequisite_for,same_unit,high,2,2,2,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard,yes,yes,no,official_dual_source,yes,
m1_num_divisor__prerequisite_for__m1_num_prime_number,m1_num_divisor,약수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_prime_number,소수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,prerequisite_for,same_unit,medium,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; term_list,yes,yes,no,official_dual_source,yes,The definition of prime number depends on having exactly 1 and itself as divisors.
m1_num_divisor__prerequisite_for__m1_num_composite_number,m1_num_divisor,약수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_composite_number,합성수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,prerequisite_for,same_unit,medium,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; term_list,yes,yes,no,official_dual_source,yes,The definition of composite number depends on having divisors other than 1 and itself.
m1_num_divisor__prerequisite_for__m1_num_prime_factor,m1_num_divisor,약수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_prime_factor,소인수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,prerequisite_for,same_unit,medium,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; term_list,yes,yes,no,official_dual_source,yes,A prime factor is a divisor/factor that is prime.
m1_num_prime_number__contrasts_with__m1_num_composite_number,m1_num_prime_number,소수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_composite_number,합성수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,contrasts_with,same_unit,high,2,2,2,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard,yes,yes,no,official_dual_source,yes,
m1_num_composite_number__contrasts_with__m1_num_prime_number,m1_num_composite_number,합성수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_prime_number,소수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,contrasts_with,same_unit,high,2,2,2,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard,yes,yes,no,official_dual_source,yes,
m1_num_prime_number__used_in__m1_num_prime_factor,m1_num_prime_number,소수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_prime_factor,소인수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,used_in,same_unit,high,2,2,2,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard,yes,yes,no,official_dual_source,yes,
m1_num_composite_number__used_in__m1_num_prime_factorization,m1_num_composite_number,합성수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_prime_factorization,소인수분해,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,used_in,same_unit,medium,2,2,2,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard,yes,yes,no,official_dual_source,yes,Prime factorization is applied to composite numbers when expressing a natural number as a product of prime factors.
m1_num_prime_factor__used_in__m1_num_prime_factorization,m1_num_prime_factor,소인수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_prime_factorization,소인수분해,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,used_in,same_unit,high,2,2,2,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard,yes,yes,no,official_dual_source,yes,
m1_num_prime_factor__used_in__m1_num_prime_factorization_meaning_explanation,m1_num_prime_factor,소인수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_prime_factorization_meaning_explanation,소인수분해의 뜻 설명하기,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,used_in,same_unit,high,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; term_list,yes,yes,no,official_dual_source,yes,
m1_num_prime_factor__contrasts_with__m1_factor_factor,m1_num_prime_factor,소인수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_factor_factor,인수,중3(교육과정 학년군: 중1-3),변화와 관계,다항식의 곱셈과 인수분해,contrasts_with,cross_grade_cross_domain,medium,5,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; term_list,yes,yes,no,official_dual_source,yes,"A prime factor is a natural-number factor that is prime, while an algebraic factor is a factor of an expression or polynomial."
m1_calc_power__used_in__m1_num_prime_factor_product,m1_calc_power,거듭제곱,중1(교육과정 학년군: 중1-3),변화와 관계,식의 계산,m1_num_prime_factor_product,소인수의 곱으로 표현하기,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,used_in,cross_domain_same_grade,medium,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; term_list,yes,yes,no,official_dual_source,yes,
m1_calc_base__used_in__m1_num_prime_factor_product,m1_calc_base,밑,중1(교육과정 학년군: 중1-3),변화와 관계,식의 계산,m1_num_prime_factor_product,소인수의 곱으로 표현하기,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,used_in,cross_domain_same_grade,medium,2,2,2,achievement_math_2022; curriculum_math_2022,achievement_level; term_list,yes,yes,no,official_dual_source,yes,
m1_calc_exponent__used_in__m1_num_prime_factor_product,m1_calc_exponent,지수,중1(교육과정 학년군: 중1-3),변화와 관계,식의 계산,m1_num_prime_factor_product,소인수의 곱으로 표현하기,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,used_in,cross_domain_same_grade,medium,2,2,2,achievement_math_2022; curriculum_math_2022,achievement_level; term_list,yes,yes,no,official_dual_source,yes,
m1_num_prime_factorization__represented_by__m1_num_prime_factor_product,m1_num_prime_factorization,소인수분해,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_prime_factor_product,소인수의 곱으로 표현하기,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,represented_by,same_unit,high,2,2,2,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard,yes,yes,no,official_dual_source,yes,
m1_num_prime_factorization__used_in__m1_num_find_gcd_lcm_prime_factorization,m1_num_prime_factorization,소인수분해,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_find_gcd_lcm_prime_factorization,소인수분해로 최대공약수와 최소공배수 구하기,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,used_in,same_unit,high,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; teaching_note,yes,yes,no,official_dual_source,yes,
m1_num_prime_factorization_guided_procedure__used_in__m1_num_prime_factorization,m1_num_prime_factorization_guided_procedure,안내된 절차에 따라 소인수분해하기,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_prime_factorization,소인수분해,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,used_in,same_unit,high,2,2,2,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard,yes,yes,no,official_dual_source,yes,
m1_num_prime_composite_classification__used_in__m1_num_prime_factorization,m1_num_prime_composite_classification,소수와 합성수 판별하기,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_prime_factorization,소인수분해,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,used_in,same_unit,medium,2,2,2,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard,yes,yes,no,official_dual_source,yes,Prime/composite classification helps decide the factorization target and stopping point.
m1_num_prime_factorization_division_method__used_in__m1_num_prime_factorization,m1_num_prime_factorization_division_method,나눗셈을 이용한 소인수분해,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_prime_factorization,소인수분해,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,used_in,same_unit,medium,2,2,2,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard,yes,yes,no,official_dual_source,yes,The division method is a guided procedure for carrying out prime factorization.
m1_num_prime_factorization_exponent_notation__used_in__m1_num_prime_factorization,m1_num_prime_factorization_exponent_notation,소인수분해 결과를 거듭제곱으로 정리하기,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_prime_factorization,소인수분해,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,used_in,same_unit,high,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; term_list,yes,yes,no,official_dual_source,yes,
m1_num_prime_factorization__used_in__m1_num_coprime,m1_num_prime_factorization,소인수분해,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_coprime,서로소,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,used_in,same_unit,medium,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; term_list,yes,yes,no,official_dual_source,yes,Prime factorization can be used to judge whether two natural numbers are coprime.
m1_num_prime_factorization__used_in__m1_num_coprime_judgement_prime_factorization,m1_num_prime_factorization,소인수분해,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_coprime_judgement_prime_factorization,소인수분해로 서로소 판별하기,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,used_in,same_unit,medium,4,2,4,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; teaching_note; term_list,yes,yes,no,official_dual_source,yes,
m1_num_coprime_judgement_prime_factorization__used_in__m1_num_coprime,m1_num_coprime_judgement_prime_factorization,소인수분해로 서로소 판별하기,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_coprime,서로소,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,used_in,same_unit,medium,4,2,4,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; teaching_note; term_list,yes,yes,no,official_dual_source,yes,
m1_num_one_not_prime_or_composite__used_in__m1_num_prime_composite_classification,m1_num_one_not_prime_or_composite,1은 소수도 합성수도 아님,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_prime_composite_classification,소수와 합성수 판별하기,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,used_in,same_unit,medium,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; term_list,yes,yes,no,official_dual_source,yes,
m1_num_prime_factorization__used_in__m1_num_common_prime_factor,m1_num_prime_factorization,소인수분해,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_common_prime_factor,공통 소인수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,used_in,same_unit,medium,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; teaching_note,yes,yes,no,official_dual_source,yes,
m1_num_divisor__used_in__m1_num_gcd,m1_num_divisor,약수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_gcd,최대공약수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,used_in,same_unit,medium,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; teaching_note,yes,yes,no,official_dual_source,yes,
m1_num_multiple__used_in__m1_num_lcm,m1_num_multiple,배수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_lcm,최소공배수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,used_in,same_unit,medium,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; teaching_note,yes,yes,no,official_dual_source,yes,
m1_num_common_divisor__used_in__m1_num_gcd,m1_num_common_divisor,공약수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_gcd,최대공약수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,used_in,same_unit,medium,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; teaching_note,yes,yes,no,official_dual_source,yes,
m1_num_common_multiple__used_in__m1_num_lcm,m1_num_common_multiple,공배수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_lcm,최소공배수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,used_in,same_unit,medium,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; teaching_note,yes,yes,no,official_dual_source,yes,
m1_num_common_prime_factor__used_in__m1_num_gcd_prime_factor_product,m1_num_common_prime_factor,공통 소인수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_gcd_prime_factor_product,최대공약수를 공통 소인수의 곱으로 나타내기,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,used_in,same_unit,medium,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; teaching_note,yes,yes,no,official_dual_source,yes,
m1_num_common_prime_factor__used_in__m1_num_select_common_prime_factors,m1_num_common_prime_factor,공통 소인수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_select_common_prime_factors,공통 소인수 선택하기,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,used_in,same_unit,medium,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; teaching_note,yes,yes,no,official_dual_source,yes,
m1_num_select_common_prime_factors__used_in__m1_num_gcd_prime_factor_product,m1_num_select_common_prime_factors,공통 소인수 선택하기,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_gcd_prime_factor_product,최대공약수를 공통 소인수의 곱으로 나타내기,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,used_in,same_unit,high,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; teaching_note,yes,yes,no,official_dual_source,yes,
m1_num_select_all_prime_factors__used_in__m1_num_lcm_prime_factor_product,m1_num_select_all_prime_factors,필요한 모든 소인수 선택하기,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_lcm_prime_factor_product,최소공배수를 필요한 모든 소인수의 곱으로 나타내기,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,used_in,same_unit,high,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; teaching_note,yes,yes,no,official_dual_source,yes,
m1_num_gcd_prime_factor_product__used_in__m1_num_find_gcd_lcm_prime_factorization,m1_num_gcd_prime_factor_product,최대공약수를 공통 소인수의 곱으로 나타내기,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_find_gcd_lcm_prime_factorization,소인수분해로 최대공약수와 최소공배수 구하기,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,used_in,same_unit,high,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; teaching_note,yes,yes,no,official_dual_source,yes,
m1_num_lcm_prime_factor_product__used_in__m1_num_find_gcd_lcm_prime_factorization,m1_num_lcm_prime_factor_product,최소공배수를 필요한 모든 소인수의 곱으로 나타내기,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_find_gcd_lcm_prime_factorization,소인수분해로 최대공약수와 최소공배수 구하기,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,used_in,same_unit,high,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; teaching_note,yes,yes,no,official_dual_source,yes,
m1_num_gcd_lcm_principle_explanation__used_in__m1_num_find_gcd_lcm_prime_factorization,m1_num_gcd_lcm_principle_explanation,최대공약수와 최소공배수의 원리 설명하기,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_find_gcd_lcm_prime_factorization,소인수분해로 최대공약수와 최소공배수 구하기,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,used_in,same_unit,high,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; teaching_note,yes,yes,no,official_dual_source,yes,
m1_num_prime_factor_product__used_in__m1_num_find_gcd_lcm_prime_factorization,m1_num_prime_factor_product,소인수의 곱으로 표현하기,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_find_gcd_lcm_prime_factorization,소인수분해로 최대공약수와 최소공배수 구하기,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,used_in,same_unit,medium,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; teaching_note,yes,yes,no,official_dual_source,yes,GCD/LCM procedures compare the prime-factor product or exponent notation of each natural number.
m1_num_gcd__used_in__m1_num_find_gcd_lcm_prime_factorization,m1_num_gcd,최대공약수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_find_gcd_lcm_prime_factorization,소인수분해로 최대공약수와 최소공배수 구하기,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,used_in,same_unit,high,2,2,2,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard,yes,yes,no,official_dual_source,yes,
m1_num_lcm__used_in__m1_num_find_gcd_lcm_prime_factorization,m1_num_lcm,최소공배수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_find_gcd_lcm_prime_factorization,소인수분해로 최대공약수와 최소공배수 구하기,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,used_in,same_unit,high,2,2,2,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard,yes,yes,no,official_dual_source,yes,
m1_num_divisor__contrasts_with__m1_num_multiple,m1_num_divisor,약수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_multiple,배수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,contrasts_with,same_unit,medium,2,2,2,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard,yes,yes,no,official_dual_source,yes,
m1_num_multiple__contrasts_with__m1_num_divisor,m1_num_multiple,배수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_divisor,약수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,contrasts_with,same_unit,medium,2,2,2,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard,yes,yes,no,official_dual_source,yes,
m1_num_common_divisor__contrasts_with__m1_num_common_multiple,m1_num_common_divisor,공약수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_common_multiple,공배수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,contrasts_with,same_unit,medium,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; teaching_note,yes,yes,no,official_dual_source,yes,
m1_num_common_multiple__contrasts_with__m1_num_common_divisor,m1_num_common_multiple,공배수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_common_divisor,공약수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,contrasts_with,same_unit,medium,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; teaching_note,yes,yes,no,official_dual_source,yes,
m1_num_select_common_prime_factors__contrasts_with__m1_num_select_all_prime_factors,m1_num_select_common_prime_factors,공통 소인수 선택하기,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_select_all_prime_factors,필요한 모든 소인수 선택하기,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,contrasts_with,same_unit,medium,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; teaching_note,yes,yes,no,official_dual_source,yes,
m1_num_select_all_prime_factors__contrasts_with__m1_num_select_common_prime_factors,m1_num_select_all_prime_factors,필요한 모든 소인수 선택하기,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_select_common_prime_factors,공통 소인수 선택하기,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,contrasts_with,same_unit,medium,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; teaching_note,yes,yes,no,official_dual_source,yes,
m1_num_gcd_prime_factor_product__contrasts_with__m1_num_lcm_prime_factor_product,m1_num_gcd_prime_factor_product,최대공약수를 공통 소인수의 곱으로 나타내기,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_lcm_prime_factor_product,최소공배수를 필요한 모든 소인수의 곱으로 나타내기,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,contrasts_with,same_unit,high,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; teaching_note,yes,yes,no,official_dual_source,yes,
m1_num_lcm_prime_factor_product__contrasts_with__m1_num_gcd_prime_factor_product,m1_num_lcm_prime_factor_product,최소공배수를 필요한 모든 소인수의 곱으로 나타내기,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_gcd_prime_factor_product,최대공약수를 공통 소인수의 곱으로 나타내기,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,contrasts_with,same_unit,high,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; teaching_note,yes,yes,no,official_dual_source,yes,
m1_num_gcd__contrasts_with__m1_num_lcm,m1_num_gcd,최대공약수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_lcm,최소공배수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,contrasts_with,same_unit,high,2,2,2,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard,yes,yes,no,official_dual_source,yes,
m1_num_lcm__contrasts_with__m1_num_gcd,m1_num_lcm,최소공배수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_gcd,최대공약수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,contrasts_with,same_unit,high,2,2,2,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard,yes,yes,no,official_dual_source,yes,
