rank,concept_id,label_ko,matched_term,grade,domain,unit,concept_type,confidence,recommended_action,page_number,match_count_on_page,context_signal,context_excerpt,review_status,source_candidate_id,source_locator_candidate,source_ref_upgrade_allowed,notes
21,m1_func_input_value,입력값,입력,중1(교육과정 학년군: 중1-3),변화와 관계,일차함수와 그 그래프,term,low,inspect_research_report_context_before_confidence_change,259,1,example_assessment_tool_context; assessment_context,...의 좌표를 지나는 일차함수의 식을 구하고 이를 알지오매스 2D에 수식을 입력하여 그래프를 그린 경우도 정답으로 인정한다. - 1_(2)번에서 예시 답안...,pending_context_review,achievement_research_report_2022,연구보고서 p. 259,no,Short page context for manual review only; do not change source_refs or confidence without source review.
22,m1_geo_ray,반직선,반직선,중1(교육과정 학년군: 중1-3),도형과 측정,기본 도형,term,low,inspect_research_report_context_before_confidence_change,130,4,achievement_level_context; curriculum_context,"...도형과 측정 도형의 기초 성취기준 성취기준별 성취수준 A 직선, 선분, 반직선의 예를 제시하고, 그 차이를 설명할 수 있다. [4수03-01] 직선,...",pending_context_review,achievement_research_report_2022,연구보고서 p. 130,no,Short page context for manual review only; do not change source_refs or confidence without source review.
23,m1_geo_ray,반직선,반직선,중1(교육과정 학년군: 중1-3),도형과 측정,기본 도형,term,low,inspect_research_report_context_before_confidence_change,138,2,achievement_level_context; curriculum_context,"...태도를 갖는다. 3) 도형과 측정 영역 영역별 성취수준 직선, 선분, 반직선, 각, 직각, 예각, 둔각, 직선의 수직 관계와 평행 관계 등의 의미와 특...",pending_context_review,achievement_research_report_2022,연구보고서 p. 138,no,Short page context for manual review only; do not change source_refs or confidence without source review.
24,m1_geo_ray,반직선,반직선,중1(교육과정 학년군: 중1-3),도형과 측정,기본 도형,term,low,inspect_research_report_context_before_confidence_change,139,1,achievement_level_context,"...고 경청한다. 안내된 절차나 구체적 조작 활동을 통하여 직선, 선분, 반직선, 각, 직각, 예각, 둔각, 직선의 수직 관계와 평행 관계 등의 의미를 이...",pending_context_review,achievement_research_report_2022,연구보고서 p. 139,no,Short page context for manual review only; do not change source_refs or confidence without source review.
25,m1_geo_orthographic_drawing,겨냥도,겨냥도,중1(교육과정 학년군: 중1-3),도형과 측정,입체도형의 성질,representation,low,inspect_research_report_context_before_confidence_change,173,4,achievement_level_context; curriculum_context,"...서리, 꼭짓점을 찾을 할 수 있다. C 수 있다. 직육면체와 정육면체의 겨냥도와 전개도를 그리고, 구성 요소와 성질을 이용하 A [6수03-04] 직육...",pending_context_review,achievement_research_report_2022,연구보고서 p. 173,no,Short page context for manual review only; do not change source_refs or confidence without source review.
26,m1_geo_orthographic_drawing,겨냥도,겨냥도,중1(교육과정 학년군: 중1-3),도형과 측정,입체도형의 성질,representation,low,inspect_research_report_context_before_confidence_change,181,1,achievement_level_context; teaching_learning_context,"...로 각 도형의 여러 가지 성질을 설명할 수 있으며, A ･ 과정 기능 겨냥도와 전개도를 능숙하게 그리고, 그 방법을 설명할 수 있다. 입체도형을 만드는...",pending_context_review,achievement_research_report_2022,연구보고서 p. 181,no,Short page context for manual review only; do not change source_refs or confidence without source review.
27,m1_geo_orthographic_drawing,겨냥도,겨냥도,중1(교육과정 학년군: 중1-3),도형과 측정,입체도형의 성질,representation,low,inspect_research_report_context_before_confidence_change,182,2,achievement_level_context; teaching_learning_context; curriculum_context,"...소를 찾을 수 있다. 직육면체와 정육면체, 각기둥과 과정 기능 원기둥의 겨냥도와 전개도를 그릴 수 있다. 사용된 쌓기나무의 개수를 구할 수 있으며, 입...",pending_context_review,achievement_research_report_2022,연구보고서 p. 182,no,Short page context for manual review only; do not change source_refs or confidence without source review.
28,m1_geo_figure,도형,도형,중학교(교육과정 학년군: 중1-3),도형과 측정,도형과 측정,core_concept,medium,inspect_research_report_context_before_source_ref_upgrade,9,3,achievement_level_context; example_assessment_tool_context; assessment_context; curriculum_context,...·························· 75 <표 Ⅳ-2-2> ‘도형과 측정’ 및 ‘자료와 가능성’ 영역의 내용 체계 내용 요소 ·······...,pending_context_review,achievement_research_report_2022,연구보고서 p. 9,no,Short page context for manual review only; do not change source_refs or confidence without source review.
29,m1_geo_figure,도형,도형,중학교(교육과정 학년군: 중1-3),도형과 측정,도형과 측정,core_concept,medium,inspect_research_report_context_before_source_ref_upgrade,12,2,achievement_level_context; assessment_context; teaching_learning_context; curriculum_context,"...강화 초 중 통합 제시 공통 ⦁ 내용 영역: 수와 연산, 변화와 관계, 도형과 측정, 자료와 가능성 ◾(학습 내용 재구조화) 수학 개념을 지나치게 활용...",pending_context_review,achievement_research_report_2022,연구보고서 p. 12,no,Short page context for manual review only; do not change source_refs or confidence without source review.
30,m1_geo_triangle,삼각형,삼각형,중학교(교육과정 학년군: 중1-3),도형과 측정,도형과 측정,core_concept,medium,inspect_research_report_context_before_source_ref_upgrade,60,5,achievement_level_context; example_assessment_tool_context; assessment_context; curriculum_context,"...평가 요소 ∙ 성취수준별 성취수준을 반영한 수준별 문항 ∙ <A 수준> 삼각형의 예인 것과 아닌 것 예시 [2수03-04] 삼각형, 사각 분류하기, 여...",pending_context_review,achievement_research_report_2022,연구보고서 p. 60,no,Short page context for manual review only; do not change source_refs or confidence without source review.
31,m1_geo_triangle,삼각형,삼각형,중학교(교육과정 학년군: 중1-3),도형과 측정,도형과 측정,core_concept,medium,inspect_research_report_context_before_source_ref_upgrade,62,2,achievement_level_context; example_assessment_tool_context; assessment_context; curriculum_context,...해하고 정당화 형의 빗변의 길이 구하기 측정 ∙ 논술형) 할 수 있다. 삼각형의 외심의 성질을 이용하여 외 접원의 넓이 구하기 ∙ 지필평가 [9수03-...,pending_context_review,achievement_research_report_2022,연구보고서 p. 62,no,Short page context for manual review only; do not change source_refs or confidence without source review.
32,m1_num_addition,덧셈,덧셈,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,procedure,medium,inspect_research_report_context_before_source_ref_upgrade,26,4,achievement_level_context; teaching_learning_context; curriculum_context,"...수 실수 ㆍ두 자리 수 범위 ㆍ분수 림, 버림, 반올림 ㆍ정수와 유 의 덧셈과 뺄셈 ㆍ소수 ㆍ자연수의 혼합 리수 ㆍ한 자리 수의 곱 ㆍ세 자리 수의 덧...",pending_context_review,achievement_research_report_2022,연구보고서 p. 26,no,Short page context for manual review only; do not change source_refs or confidence without source review.
33,m1_num_addition,덧셈,덧셈,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,procedure,medium,inspect_research_report_context_before_source_ref_upgrade,47,1,achievement_level_context; assessment_context; teaching_learning_context; curriculum_context,"...보면, 초등학교 1~2학년군 수와 연산 영역 성취기준은 ‘ 네 자리 이하의 수’, ‘ 두 자리 수 범위의 덧셈과 뺄셈’, ‘ 한 자리 수의 곱셈’으로 47",pending_context_review,achievement_research_report_2022,연구보고서 p. 47,no,Short page context for manual review only; do not change source_refs or confidence without source review.
34,m1_num_subtraction,뺄셈,뺄셈,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,procedure,medium,inspect_research_report_context_before_source_ref_upgrade,26,5,achievement_level_context; teaching_learning_context; curriculum_context,"...수 ㆍ두 자리 수 범위 ㆍ분수 림, 버림, 반올림 ㆍ정수와 유 의 덧셈과 뺄셈 ㆍ소수 ㆍ자연수의 혼합 리수 ㆍ한 자리 수의 곱 ㆍ세 자리 수의 덧 계산...",pending_context_review,achievement_research_report_2022,연구보고서 p. 26,no,Short page context for manual review only; do not change source_refs or confidence without source review.
35,m1_num_subtraction,뺄셈,뺄셈,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,procedure,medium,inspect_research_report_context_before_source_ref_upgrade,47,1,achievement_level_context; assessment_context; teaching_learning_context; curriculum_context,"...보면, 초등학교 1~2학년군 수와 연산 영역 성취기준은 ‘ 네 자리 이하의 수’, ‘ 두 자리 수 범위의 덧셈과 뺄셈’, ‘ 한 자리 수의 곱셈’으로 47",pending_context_review,achievement_research_report_2022,연구보고서 p. 47,no,Short page context for manual review only; do not change source_refs or confidence without source review.
36,m1_geo_length,길이,길이,중학교(교육과정 학년군: 중1-3),도형과 측정,도형과 측정,term,medium,inspect_research_report_context_before_source_ref_upgrade,62,2,achievement_level_context; example_assessment_tool_context; assessment_context; curriculum_context,...용하여 직각삼각 세트) ･ 도형과 (서 리를 이해하고 정당화 형의 빗변의 길이 구하기 측정 ∙ 논술형) 할 수 있다. 삼각형의 외심의 성질을 이용하여...,pending_context_review,achievement_research_report_2022,연구보고서 p. 62,no,Short page context for manual review only; do not change source_refs or confidence without source review.
37,m1_geo_length,길이,길이,중학교(교육과정 학년군: 중1-3),도형과 측정,도형과 측정,term,medium,inspect_research_report_context_before_source_ref_upgrade,77,1,achievement_level_context; curriculum_context,"...의 합동과 닮음 판별하기 ㆍ확률의 기본 성질 탐구하기 과정ㆍ기능 ㆍ도형의 길이, 넓이, 겉넓이, 부피 구하기 ㆍ자료의 분포를 비교하고 설명하기 ㆍ구체적...",pending_context_review,achievement_research_report_2022,연구보고서 p. 77,no,Short page context for manual review only; do not change source_refs or confidence without source review.
38,m1_num_multiplication,곱셈,곱셈,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,procedure,medium,inspect_research_report_context_before_source_ref_upgrade,26,3,achievement_level_context; teaching_learning_context; curriculum_context,...리 수의 덧 계산 셈 셈과 뺄셈 ㆍ분모가 다른 분수 지식ㆍ이해 ㆍ자연수의 곱셈 의 덧셈과 뺄셈 과 나눗셈 ㆍ분수의 곱셈과 ㆍ분모가 같은 분수 나눗셈 의...,pending_context_review,achievement_research_report_2022,연구보고서 p. 26,no,Short page context for manual review only; do not change source_refs or confidence without source review.
39,m1_num_multiplication,곱셈,곱셈,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,procedure,medium,inspect_research_report_context_before_source_ref_upgrade,47,1,achievement_level_context; assessment_context; teaching_learning_context; curriculum_context,"...보면, 초등학교 1~2학년군 수와 연산 영역 성취기준은 ‘ 네 자리 이하의 수’, ‘ 두 자리 수 범위의 덧셈과 뺄셈’, ‘ 한 자리 수의 곱셈’으로 47",pending_context_review,achievement_research_report_2022,연구보고서 p. 47,no,Short page context for manual review only; do not change source_refs or confidence without source review.
40,m1_geo_area,넓이,넓이,중학교(교육과정 학년군: 중1-3),도형과 측정,도형과 측정,term,medium,inspect_research_report_context_before_source_ref_upgrade,62,2,achievement_level_context; example_assessment_tool_context; assessment_context; curriculum_context,...[9수03-08] 입체도형의 겉 영역 융합 세트 ② ･ 도형과 ∙ (서 넓이와 부피를 구할 수 뿔의 부피를 구하는 과정을 이용하여 측정 논술형) 있다....,pending_context_review,achievement_research_report_2022,연구보고서 p. 62,no,Short page context for manual review only; do not change source_refs or confidence without source review.
41,m1_geo_area,넓이,넓이,중학교(교육과정 학년군: 중1-3),도형과 측정,도형과 측정,term,medium,inspect_research_report_context_before_source_ref_upgrade,77,2,achievement_level_context; curriculum_context,"...닮음 판별하기 ㆍ확률의 기본 성질 탐구하기 과정ㆍ기능 ㆍ도형의 길이, 넓이, 겉넓이, 부피 구하기 ㆍ자료의 분포를 비교하고 설명하기 ㆍ구체적인 모형이나...",pending_context_review,achievement_research_report_2022,연구보고서 p. 77,no,Short page context for manual review only; do not change source_refs or confidence without source review.
42,m1_num_division,나눗셈,나눗셈,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,procedure,medium,inspect_research_report_context_before_source_ref_upgrade,26,3,achievement_level_context; teaching_learning_context; curriculum_context,...뺄셈 ㆍ분모가 다른 분수 지식ㆍ이해 ㆍ자연수의 곱셈 의 덧셈과 뺄셈 과 나눗셈 ㆍ분수의 곱셈과 ㆍ분모가 같은 분수 나눗셈 의 덧셈과 뺄셈 ㆍ소수의 곱셈...,pending_context_review,achievement_research_report_2022,연구보고서 p. 26,no,Short page context for manual review only; do not change source_refs or confidence without source review.
43,m1_num_division,나눗셈,나눗셈,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,procedure,medium,inspect_research_report_context_before_source_ref_upgrade,57,2,achievement_level_context,"...타낼 수 있다. ∙ ･ 다항식의 덧셈과 뺄셈, 다항식과 단항식의 곱셈과 나눗셈을 하고 그 과정을 설명할 수 A 과정 기능 있다. 부등식의 성질을 설명할...",pending_context_review,achievement_research_report_2022,연구보고서 p. 57,no,Short page context for manual review only; do not change source_refs or confidence without source review.
44,m1_prop_inverse_proportion,반비례,반비례 관계,중1(교육과정 학년군: 중1-3),변화와 관계,좌표평면과 그래프,core_concept,medium,inspect_research_report_context_before_source_ref_upgrade,57,5,achievement_level_context,"...있다. 방정식과 그 해의 뜻을 안다. 순서쌍과 좌표, 정비례 관계와 반비례 관계를 이해하고 설명할 수 있다. ･ ∙ 지식 이해 지수법칙과 다항식의 사칙...",pending_context_review,achievement_research_report_2022,연구보고서 p. 57,no,Short page context for manual review only; do not change source_refs or confidence without source review.
45,m1_prop_inverse_proportion,반비례,반비례 관계,중1(교육과정 학년군: 중1-3),변화와 관계,좌표평면과 그래프,core_concept,medium,inspect_research_report_context_before_source_ref_upgrade,58,4,achievement_level_context; curriculum_context,"...다. 속력과 거리, 속력과 시간과 같은 실생활 예에서 정비례 관계와 반비례 관계를 말하고, 그 관계를 표, 식, 그래프로 나타낼 수 있다. ∙ 다항식의...",pending_context_review,achievement_research_report_2022,연구보고서 p. 58,no,Short page context for manual review only; do not change source_refs or confidence without source review.
46,m1_geo_pyramid,뿔 모양 입체도형,각뿔,중1(교육과정 학년군: 중1-3),도형과 측정,입체도형의 성질,sub_concept,medium,inspect_research_report_context_before_source_ref_upgrade,174,5,achievement_level_context; curriculum_context,"2022 개정 교육과정에 따른 초·중학교 수학과 성취수준 개발 연구 각기둥과 각뿔 성취기준 성취기준별 성취수준 실생활에서 각기둥과 각뿔을 찾고, 구성 요소와...",pending_context_review,achievement_research_report_2022,연구보고서 p. 174,no,Short page context for manual review only; do not change source_refs or confidence without source review.
47,m1_geo_pyramid,뿔 모양 입체도형,원뿔,중1(교육과정 학년군: 중1-3),도형과 측정,입체도형의 성질,sub_concept,medium,inspect_research_report_context_before_source_ref_upgrade,181,3,achievement_level_context; teaching_learning_context,"...등을 종합적으로 이해한다. 직육면체와 정육면체, 각기둥과 각뿔, 원기둥, 원뿔, 구를 알고, 각각의 구성 요소와 성질을 종합적으로 이해한다. 쌓기나무의...",pending_context_review,achievement_research_report_2022,연구보고서 p. 181,no,Short page context for manual review only; do not change source_refs or confidence without source review.
48,m1_geo_prism,기둥 모양 입체도형,원기둥,중1(교육과정 학년군: 중1-3),도형과 측정,입체도형의 성질,sub_concept,medium,inspect_research_report_context_before_source_ref_upgrade,103,4,achievement_level_context; curriculum_context,"...취기준별 성취수준 [2수03-01] 교실 및 생 주변 물건을 직육면체, 원기둥, 구의 모양으로 분류하여 특징을 말하고, 그 모양 A 활 주변에서 여러...",pending_context_review,achievement_research_report_2022,연구보고서 p. 103,no,Short page context for manual review only; do not change source_refs or confidence without source review.
49,m1_geo_prism,기둥 모양 입체도형,원기둥,중1(교육과정 학년군: 중1-3),도형과 측정,입체도형의 성질,sub_concept,medium,inspect_research_report_context_before_source_ref_upgrade,108,2,achievement_level_context; curriculum_context,"...참여하려고 노력한다. 3) 도형과 측정 영역 영역별 성취수준 직육면체, 원기둥, 구의 모양을 종합적으로 이해하고, 쌓기나무를 이용하여 만 든 입체도형의...",pending_context_review,achievement_research_report_2022,연구보고서 p. 108,no,Short page context for manual review only; do not change source_refs or confidence without source review.
50,m1_func_intersection_point,교점,그래프의 교점,중1(교육과정 학년군: 중1-3),변화와 관계,일차함수와 일차방정식의 관계,term,medium,inspect_research_report_context_before_source_ref_upgrade,57,3,achievement_level_context,...그 그래프를 활용하여 다양한 문제를 해결할 수 있다. 두 일차함수의 그래프의 교점과 연립일차방정식의 해 사이의 관계를 설명할 수 있다. ∙ 다항식의 곱...,pending_context_review,achievement_research_report_2022,연구보고서 p. 57,no,Short page context for manual review only; do not change source_refs or confidence without source review.
51,m1_func_intersection_point,교점,그래프의 교점,중1(교육과정 학년군: 중1-3),변화와 관계,일차함수와 일차방정식의 관계,term,medium,inspect_research_report_context_before_source_ref_upgrade,58,3,achievement_level_context; curriculum_context,"...그래프를 활용하 여 간단한 문제를 해결할 수 있다. 두 일차함수의 그래프의 교점이 한 개인 경우, 두 일차 함수의 그래프의 교점과 연립일차방정식의 해...",pending_context_review,achievement_research_report_2022,연구보고서 p. 58,no,Short page context for manual review only; do not change source_refs or confidence without source review.
52,m1_num_multiple,배수,배수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,term,medium,inspect_research_report_context_before_source_ref_upgrade,13,1,achievement_level_context; assessment_context; teaching_learning_context; curriculum_context,"...학과 교육과정 주요 변화 비고 ⦁ ⦁ (중학교 1학년) 최대공약수, 최소공배수의 성질 이해 및 활용 삭제, 대 학습 부담 완화 및 학 푯값(중앙값, 최...",pending_context_review,achievement_research_report_2022,연구보고서 p. 13,no,Short page context for manual review only; do not change source_refs or confidence without source review.
53,m1_num_multiple,배수,배수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,term,medium,inspect_research_report_context_before_source_ref_upgrade,26,2,achievement_level_context; teaching_learning_context; curriculum_context,...학년 5~6학년 1~3학년 ㆍ네 자리 이하의 ㆍ다섯 자리 이상 ㆍ약수와 배수 ㆍ 소인 수분 ㆍ 유 리수 와 ㆍ제 곱근 과 수 의 수 ㆍ수의 범위와 올...,pending_context_review,achievement_research_report_2022,연구보고서 p. 26,no,Short page context for manual review only; do not change source_refs or confidence without source review.
